"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.704166764E-5,7.334747314E-2,6.254443817E0,7.462731171E0
9.905958334E-3,3.682342529E-2,6.388415222E0,7.323670349E0
1.983895833E-2,9.145980835E-2,6.381080475E0,7.291636963E0
2.977195833E-2,2.408491516E-1,6.290668488E0,7.354805603E0
3.970395833E-2,2.700384521E-1,6.277346191E0,7.353458405E0
4.963695833E-2,1.219963074E-1,6.264922028E0,7.419920197E0
5.956995833E-2,-7.484436035E-4,6.279292145E0,7.444020081E0
6.950295833E-2,1.886077881E-2,6.328090668E0,7.459438019E0
7.943495833E-2,8.098159790E-2,6.255491638E0,7.449408875E0
8.936795833E-2,1.481918335E-1,6.254743195E0,7.459737396E0
9.930095833E-2,2.784210205E-1,6.314918060E0,7.509883118E0
1.092329583E-1,2.724334717E-1,6.337970123E0,7.544610901E0
1.191660417E-1,1.697470093E-1,6.334976349E0,7.574997711E0
1.290990417E-1,1.393601990E-1,6.295009460E0,7.532486115E0
1.390320417E-1,6.960525513E-2,6.256988525E0,7.468419342E0
1.489640417E-1,4.161346436E-2,6.268664246E0,7.458839264E0
1.588970417E-1,5.298980713E-2,6.293512573E0,7.425308990E0
1.688300417E-1,3.966751099E-2,6.304439850E0,7.447612610E0
1.787630417E-1,2.963836670E-2,6.308780823E0,7.478298798E0
1.886950417E-1,6.735992432E-3,6.337670746E0,7.475903778E0
1.986280417E-1,1.945953369E-3,6.331533508E0,7.482340393E0
2.085610417E-1,7.634124756E-3,6.325995026E0,7.580685883E0
2.184930417E-1,-1.901046753E-2,6.353687439E0,7.639812927E0
2.284260417E-1,-2.320175171E-2,6.346352692E0,7.590565338E0
2.383590417E-1,4.939727783E-3,6.327042847E0,7.588020630E0
2.482920417E-1,-1.257385254E-2,6.346502380E0,7.635621643E0
2.582240417E-1,-4.834945679E-2,6.309529266E0,7.597600708E0
2.681570417E-1,-6.466552734E-2,6.275250549E0,7.480843506E0
2.780900417E-1,-8.637039185E-2,6.258784790E0,7.389383698E0
2.880230417E-1,-9.984237671E-2,6.251300354E0,7.337441711E0
2.979550417E-1,-6.676116943E-2,6.242468719E0,7.341632996E0
3.078880417E-1,1.317260742E-2,6.229894867E0,7.454348602E0
3.178210417E-1,7.694000244E-2,6.236780548E0,7.548353119E0
3.277530417E-1,9.101074219E-2,6.237079926E0,7.619155884E0
3.376860417E-1,8.846603394E-2,6.215824127E0,7.624694366E0
3.476190417E-1,2.754272461E-2,6.194718018E0,7.612868958E0
3.575520417E-1,-2.125579834E-2,6.253096619E0,7.655230865E0
3.674840417E-1,-3.517684937E-2,6.255341949E0,7.656278687E0
3.774170417E-1,1.242416382E-2,6.205645294E0,7.553891602E0
3.873500417E-1,9.160949707E-2,6.209387512E0,7.536677399E0
3.972820417E-1,9.804611206E-2,6.205495605E0,7.529192963E0
4.072150417E-1,5.523513794E-2,6.269562378E0,7.553143158E0
4.171480417E-1,4.894821167E-2,6.330785065E0,7.559879150E0
4.270810417E-1,9.145980835E-2,6.307433624E0,7.573201447E0
4.370130417E-1,8.771759033E-2,6.263574829E0,7.547005920E0
4.469460417E-1,1.308279419E-1,6.270161133E0,7.479496307E0
4.568790417E-1,1.451980591E-1,6.261179810E0,7.424111481E0
4.668120417E-1,1.799258423E-1,6.249055023E0,7.356152802E0
4.767440417E-1,2.502795410E-1,6.224057007E0,7.368726654E0
4.866770417E-1,3.543132019E-1,6.223158875E0,7.327711945E0
4.966100417E-1,3.023712158E-1,6.234385529E0,7.382498016E0
5.065430417E-1,1.152603149E-1,6.250551910E0,7.485783234E0
5.164750417E-1,-8.038284302E-2,6.192173309E0,7.483238525E0
5.264080417E-1,-4.191284180E-2,6.178102570E0,7.545359344E0
5.363410417E-1,6.870712280E-2,6.136938171E0,7.539521484E0
5.462730417E-1,1.707948303E-1,6.160738678E0,7.534731445E0
5.562060417E-1,2.179467773E-1,6.206992493E0,7.473359070E0
5.661390417E-1,2.504292297E-1,6.234385529E0,7.414980469E0
5.760720417E-1,3.138972473E-1,6.246061249E0,7.416327667E0
5.860040417E-1,2.758763123E-1,6.243965607E0,7.428602142E0
5.959370417E-1,2.269281006E-1,6.230792999E0,7.431296539E0
6.058700417E-1,1.480421448E-1,6.240522766E0,7.479645996E0
6.158030417E-1,1.007405090E-1,6.238726501E0,7.506889343E0
6.257350417E-1,7.828720093E-2,6.241271210E0,7.520361328E0
6.356680417E-1,7.140151978E-2,6.214327240E0,7.531438293E0
6.456010417E-1,7.334747314E-2,6.202202454E0,7.542814636E0
6.555330417E-1,1.104702759E-1,6.244115295E0,7.542066193E0
6.654660417E-1,1.086740112E-1,6.241570587E0,7.543862457E0
6.753990417E-1,1.079255676E-1,6.259533234E0,7.541018372E0
6.853320417E-1,1.285826111E-1,6.303691406E0,7.641609192E0
6.952640417E-1,8.637039185E-2,6.275100861E0,7.652536469E0
7.051970417E-1,1.318757629E-1,6.246809692E0,7.634424133E0
7.151300417E-1,9.460327148E-2,6.244714050E0,7.620203705E0
7.250620417E-1,8.696914673E-2,6.237528992E0,7.599995728E0
7.349950417E-1,7.200027466E-2,6.239325256E0,7.659571838E0
7.449280417E-1,3.951782227E-2,6.210285645E0,7.692203979E0
7.548610417E-1,2.275268555E-2,6.235882416E0,7.644453278E0
7.647930417E-1,2.275268555E-2,6.237978058E0,7.573500824E0
7.747260417E-1,-2.694396973E-2,6.260131989E0,7.590565338E0
7.846590417E-1,2.888992310E-2,6.261479187E0,7.601492615E0
7.945920417E-1,6.122268677E-2,6.267616425E0,7.493117981E0
8.045240417E-1,7.664062500E-2,6.301895142E0,7.505242767E0
8.144570417E-1,5.074447632E-2,6.339467010E0,7.521109772E0
8.243900417E-1,2.095642090E-2,6.349795532E0,7.497009888E0
8.343220417E-1,-2.439926147E-2,6.366410980E0,7.490124207E0
8.442550417E-1,-2.140548706E-2,6.266119537E0,7.433841248E0
8.541880417E-1,2.185455322E-2,6.190377045E0,7.442822571E0
8.641210417E-1,-1.841171265E-2,6.269712067E0,7.577093353E0
8.740530417E-1,-1.568737793E-1,6.291716309E0,7.662864990E0
8.839860417E-1,-7.559280396E-2,6.277944946E0,7.716752930E0
8.939190417E-1,5.074447632E-2,6.206992493E0,7.731572113E0
9.038520417E-1,7.080276489E-2,6.268514557E0,7.689210205E0
9.137840417E-1,1.494043121E0,6.899302826E0,7.367229767E0
9.237170417E-1,2.844085693E-3,6.508615265E0,7.624394989E0
9.336500417E-1,-1.276096344E0,5.524711304E0,7.806566162E0
9.435820417E-1,-6.035449219E-1,5.486690369E0,7.735763397E0
9.535150417E-1,-1.490899658E-1,5.948929138E0,7.597151642E0
9.634480417E-1,-1.098715210E-1,6.170468445E0,7.515720978E0
9.733810417E-1,3.906875610E-1,6.436465302E0,7.405699768E0
9.833130417E-1,1.639091492E-1,6.387367401E0,7.605683899E0
9.932460417E-1,-1.453477478E-1,6.067183228E0,7.640860748E0
1.003179042E0,-1.706451416E-1,5.926026764E0,7.565866699E0
1.013112042E0,-1.526824951E-2,6.039191437E0,7.618557129E0
1.023044042E0,1.249900818E-1,6.240522766E0,7.606432343E0
1.032977042E0,-1.444496155E-1,6.199208679E0,7.736212463E0
1.042910042E0,-1.258882141E-1,6.137836304E0,7.716303864E0
1.052842042E0,-2.574645996E-2,6.186335449E0,7.595355377E0
1.062775042E0,-6.571334839E-2,6.172564087E0,7.540569305E0
1.072708042E0,-5.313949585E-2,6.185437317E0,7.447462921E0
1.082641042E0,-4.400848389E-2,6.223009186E0,7.468119965E0
1.092573042E0,-6.990463257E-2,6.241720276E0,7.543413391E0
1.102506042E0,-3.532653809E-2,6.192472687E0,7.514673157E0
1.112439792E0,4.939727783E-2,6.133046265E0,7.369774475E0
1.122372792E0,9.131011963E-2,6.114784241E0,7.286248169E0
1.132304792E0,1.305285645E-1,6.118077393E0,7.248526611E0
1.142237792E0,1.389111328E-1,6.117029572E0,7.218139801E0
1.152170792E0,1.026864624E-1,6.136040039E0,7.225025482E0
1.162102792E0,8.442443848E-2,6.190377045E0,7.234006805E0
1.172035792E0,5.688171387E-2,6.230343933E0,7.250921631E0
1.181968792E0,8.382568359E-3,6.268664246E0,7.269632721E0
1.191901792E0,-8.143066406E-2,6.283034363E0,7.264992371E0
1.201833792E0,-7.963439941E-2,6.316564636E0,7.213649139E0
1.211766792E0,-1.886077881E-2,6.381828918E0,7.284302216E0
1.221699792E0,-1.182540894E-2,6.409970398E0,7.289541321E0
1.231632792E0,-4.266128540E-2,6.308331757E0,7.077881470E0
1.241564792E0,-1.601669312E-2,6.351292419E0,7.104376373E0
1.251497792E0,1.197509766E-3,6.568790131E0,7.174879761E0
1.261430792E0,-1.047821045E-3,6.428980865E0,7.237449646E0
1.271362792E0,-3.068618774E-2,6.180048523E0,7.128925323E0
