"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.332208333E-3,-1.456754655E-2,-9.900128469E-3,-1.145093143E-2
1.426420833E-2,-1.482187863E-2,-2.684635483E-2,-1.061576325E-2
2.419620833E-2,-1.981521957E-2,-1.503679622E-2,-1.463762857E-2
3.412820833E-2,-1.863357611E-2,-9.105669335E-3,-2.411288954E-2
4.406020833E-2,-6.865493488E-3,-1.834762469E-2,-2.552391030E-2
5.399220833E-2,-5.017525982E-3,-2.013700455E-2,-1.906814054E-2
6.392320833E-2,-1.884093508E-3,-1.330774464E-2,-1.358404756E-2
7.385520833E-2,9.249251336E-3,-1.465290692E-2,-6.602304056E-3
8.378720833E-2,1.516373549E-2,-1.512527186E-2,-2.202423755E-3
9.371920833E-2,1.711530052E-2,-2.097250894E-2,2.189222723E-4
1.036512083E-1,1.080860663E-2,-2.365257777E-2,1.598937670E-3
1.135832083E-1,1.419631997E-3,-2.864600532E-2,3.592313966E-3
1.235142083E-1,-3.497597296E-3,-2.956073545E-2,1.526117790E-3
1.334462083E-1,-1.144766621E-2,-2.999855950E-2,8.347611874E-4
1.433782083E-1,-1.576840878E-2,-2.915919572E-2,-2.015504520E-3
1.533102083E-1,-1.734020747E-2,-2.783187665E-2,-4.543909803E-3
1.632422083E-1,-1.694308594E-2,-2.813399397E-2,-4.475313239E-3
1.731742083E-1,-1.635639183E-2,-3.096413612E-2,-7.761387620E-3
1.831052083E-1,-1.147342473E-2,-3.501307592E-2,-6.665728055E-3
1.930372083E-1,-5.071450956E-3,-2.917036600E-2,-1.105009019E-2
2.029692083E-1,9.933146648E-4,-2.629019879E-2,-1.453380287E-2
2.129012083E-1,8.269337006E-3,-2.631390095E-2,-1.126210950E-2
2.228332083E-1,8.787118830E-3,-2.952953987E-2,-1.215476636E-2
2.327652083E-1,-1.800012193E-3,-2.208760381E-2,-1.214970648E-2
2.426962083E-1,-8.969476447E-3,-1.867922582E-2,-9.958839975E-3
2.526282083E-1,-2.117447741E-2,-2.443404868E-2,-7.310592569E-3
2.625602083E-1,-2.839256823E-2,-3.219475597E-2,4.963951651E-4
2.724922083E-1,-4.139811918E-2,-2.337702736E-2,6.441103294E-3
2.824242083E-1,-5.029856041E-2,-2.606254816E-2,2.289353870E-4
2.923560833E-1,-4.446064681E-2,-3.619854152E-2,-1.000532601E-2
3.022870833E-1,-3.008168563E-2,-4.158347473E-2,-2.325254120E-2
3.122190833E-1,-3.493484808E-3,-3.149329126E-2,-4.680819809E-2
3.221510833E-1,1.585401967E-2,-2.974964492E-2,-7.391910255E-2
3.320830833E-1,-5.210372433E-2,-7.241028547E-2,-1.685661264E-2
3.420150833E-1,-2.700101584E-2,-5.606063828E-2,-4.176089540E-3
3.519470833E-1,-2.255646512E-2,-5.014415830E-2,-1.418851037E-2
3.618780833E-1,-2.237772569E-2,-5.783787742E-2,-3.285897896E-2
3.718100833E-1,-2.186133713E-2,-4.956077412E-2,-3.877492622E-2
3.817420833E-1,-2.613053471E-2,-4.070885852E-2,-3.917500749E-2
3.916740833E-1,-1.976904087E-2,-3.159658611E-2,-3.786846250E-2
4.016060833E-1,-2.139275894E-2,-1.600901410E-2,-3.267263249E-2
4.115380833E-1,-1.884384826E-2,-1.536852308E-2,-2.145885862E-2
4.214700833E-1,-1.557552163E-2,-2.038839087E-2,-1.103452779E-2
4.314010833E-1,-1.288253348E-2,-2.146191150E-2,-6.158280186E-3
4.413330833E-1,-1.277515385E-2,-1.664614305E-2,1.916510519E-4
4.512650833E-1,-1.465854142E-2,-8.224163204E-3,2.282232745E-3
4.611970833E-1,-1.321357302E-2,2.562832087E-4,6.769890897E-3
4.711290833E-1,-1.495155226E-2,1.492737047E-2,6.114486605E-3
4.810610833E-1,-2.025197819E-2,2.358649671E-2,5.977101624E-3
4.909920833E-1,-1.683567464E-2,2.365467325E-2,8.863968775E-3
5.009240833E-1,-1.631080918E-2,2.754353546E-2,1.290835813E-2
5.108560833E-1,-2.055402473E-2,3.237291053E-2,1.480852440E-2
5.207880833E-1,-2.243036963E-2,3.530222550E-2,1.581512205E-2
5.307200833E-1,-1.794214360E-2,3.596055880E-2,1.257006079E-2
5.406520833E-1,-1.551114768E-2,3.148471192E-2,1.310485974E-2
5.505830833E-1,-1.483044401E-2,2.579087205E-2,1.951135881E-2
5.605150833E-1,-1.171028428E-2,1.907810755E-2,2.197425067E-2
5.704470833E-1,-9.480952285E-3,1.761603355E-2,2.002987638E-2
5.803790833E-1,-2.892100252E-3,1.811728999E-2,1.780263707E-2
5.903110833E-1,4.459556192E-3,1.852075942E-2,2.120775543E-2
6.002430833E-1,8.880873211E-3,2.178673074E-2,1.815653592E-2
6.101740833E-1,9.236937389E-3,2.446933463E-2,1.783828810E-2
6.201060833E-1,8.139672689E-3,2.983278967E-2,1.636540890E-2
6.300380833E-1,8.533287793E-3,3.288903087E-2,1.308279485E-2
6.399700833E-1,4.747635685E-3,2.858196571E-2,1.254205685E-2
6.499020833E-1,2.879694570E-3,2.151180618E-2,1.793868840E-2
6.598340833E-1,1.003540820E-3,2.271703631E-2,2.092664130E-2
6.697650833E-1,8.253752603E-4,2.415780723E-2,2.179110423E-2
6.796970833E-1,2.165348502E-3,2.238981426E-2,1.861056313E-2
6.896290833E-1,5.612544250E-3,2.306599170E-2,1.550185494E-2
6.995610833E-1,9.269906208E-3,2.605873533E-2,9.177000262E-3
7.094930833E-1,1.179618109E-2,2.276040986E-2,5.828874186E-3
7.194250833E-1,1.604204625E-2,1.712827198E-2,7.774043828E-3
7.293570833E-1,2.225147188E-2,1.464061253E-2,9.626804851E-3
7.392880833E-1,2.827016637E-2,1.217954420E-2,6.960149854E-3
7.492200833E-1,2.869680524E-2,1.022345200E-2,6.099683233E-3
7.591520833E-1,2.868133783E-2,4.461732227E-3,7.825340144E-4
7.690840833E-1,2.338217944E-2,6.145915482E-3,-4.072408658E-3
7.790160833E-1,2.298516594E-2,7.304780185E-3,-3.250255948E-3
7.889480833E-1,3.179916739E-2,6.143641658E-3,-3.832156537E-3
7.988790833E-1,4.476722330E-2,7.513165474E-3,3.591439920E-3
8.088110833E-1,5.334686115E-2,9.453278035E-3,2.698748140E-3
8.187430833E-1,6.231250241E-2,9.171529673E-3,7.367723621E-3
8.286750833E-1,6.473677605E-2,7.215172052E-3,1.174143329E-2
8.386070833E-1,6.804654747E-2,8.926252834E-3,1.199709624E-2
