Timestamps,Acc_X_cleaned,Acc_Y_cleaned,Acc_Z_cleaned,Gyro_X_cleaned,Gyro_Y_cleaned,Gyro_Z_cleaned,Label
1717615786047000000,0.8114197867714285,3.50291564947619,9.060943385476191,0.001973441059048,0.0036249509672857,-0.0132456334274761,1
1717615786247000000,0.7944055252000001,3.4878893966,9.158277763399996,0.017460272926,-0.005874705676025,0.0027540768495,1
1717615786447000000,0.906073310815,3.4509387359499994,9.10534034725,0.004536218539455,-0.0047753641730599,-0.0001177752152499,1
1717615786647000000,0.8724831619350001,3.5187252731000003,9.0774234008,0.0080026840676575,0.00969681517591,0.004781763326053,1
1717615786847000000,0.761743446355,3.77274703225,8.486452331600002,-0.040075159257,0.0054036367327999,0.0074630236606749,1
1717615787047000000,0.587363571175,4.0006705627,7.739857383749999,-0.40305636972,-0.0497972024144,0.0641913998859999,1
1717615787247000000,1.3136158217699998,1.7840350799300002,9.3821372447,-0.69901333452,0.1391136850704999,0.0554839146722,1
1717615788047000000,0.660875701905,0.6647227020525002,10.15483042095,0.7254882186649999,-0.1256786633215,-0.092010625832,1
1717615788247000000,0.2773282928485,2.3414833603500003,9.113558258100005,0.7009760379900001,-0.159656994425,-0.0523230021825,1
1717615788447000000,0.87238586431,4.3015598602,7.263869705249999,0.115609923367,-0.153066630301,-0.077113494,1
1717615788647000000,1.1502605208800003,4.2734483186,7.822747512900001,-0.0057131261575,-0.02602959651205,0.0404113693559999,1
1717615789047000000,0.5145549774085001,1.7138834610500002,10.36919963785,-0.480261236415,0.1782541689524999,0.095940901156,1
1717615789247000000,0.8843160552599999,0.95009676358,10.6543940725,-0.2358390662735,0.01423835786075,-0.0075113674279499,1
1717615789447000000,0.575785148635,1.1857816543,11.492194359,0.1685866502055,0.04531384518485,0.0103595857974599,1
1717615789647000000,0.6838229827799999,1.75867032625,10.330183274299998,0.5737569138349999,-0.06115907307165,-0.0612325722349999,1
1717615789847000000,0.62979283903,3.0158684691,9.1703052522,0.6482115864650001,-0.1429746020614999,-0.0600826729095,1
1717615790047000000,0.8199723587149998,4.52108585355,7.33270406345,0.31413192172095,-0.0338438807244,-0.0008426651586999,1
1717615790247000000,1.167158595404762,5.352797372047619,7.042875693285714,-0.114923444010819,0.0010023633728571,0.000976518085,1
1717615790447000000,0.999658699091,4.91649609365,6.9853813249,-0.2838407038039,0.1045551561715,0.0615623926765,1
1717615790647000000,0.601583999609,3.297126091,9.1085436859,-0.64914864897,0.1893568651765,0.0472843318457,1
1717615790847000000,0.3226540374715,1.71846393585,9.9301775897,-0.6523049980350001,-0.0238948293987,-0.021679628361805,1
1717615791047000000,0.7236177292300001,0.6846163330099999,10.78858252715,-0.3151961338595,-0.1067969890279999,0.0132407792023,1
1717615791447000000,1.3766272887900002,0.70256401068575,10.565987914,0.4665529683300001,0.0264873529211779,-0.0465804165730499,1
1717615791647000000,0.968792884835,2.1872665559,9.516744827100002,0.6813170015800001,0.0663431871219999,-0.06318647567575,1
1717615791847000000,0.3238408551837143,4.065481502,7.743967764714286,0.6363597378830953,-0.0203495517655,-0.0144904669972857,1
1717615792047000000,0.8850420455849999,4.937355217,7.7446998138,-0.0339514085729,0.0600327020468999,0.01513154632315,1
