"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717611506441377E9,"2024-06-05 20:18:26.441 UTC+02:00"
"PAUSE",1.140894827916782E2,1.717611620529978E9,"2024-06-05 20:20:20.530 UTC+02:00"
