"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717764171836297E9,"2024-06-07 14:42:51.836 UTC+02:00"
"PAUSE",3.213650133333067E1,1.717764203972689E9,"2024-06-07 14:43:23.973 UTC+02:00"
