"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717717379227992E9,"2024-06-07 01:42:59.228 UTC+02:00"
"PAUSE",8.822175062500014E1,1.717717467449247E9,"2024-06-07 01:44:27.449 UTC+02:00"
