"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717699171123421E9,"2024-06-06 20:39:31.123 UTC+02:00"
"PAUSE",9.354660354167572E1,1.717699264669522E9,"2024-06-06 20:41:04.670 UTC+02:00"
