"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.542986700E-2,-2.559449971E-1,-4.207210541E-1,3.359659761E-2
3.779877300E-2,-2.516690791E-1,-4.048390090E-1,2.626643144E-2
4.016762700E-2,-2.486148328E-1,-3.865135908E-1,1.893626526E-2
4.253653400E-2,-2.449497581E-1,-3.694098890E-1,1.282779220E-2
4.490538800E-2,-2.376195788E-1,-3.516952991E-1,4.886778072E-3
4.727429400E-2,-2.309002578E-1,-3.339807391E-1,-2.443389036E-3
4.964320000E-2,-2.229592502E-1,-3.174878657E-1,-7.941014133E-3
5.201205400E-2,-2.137965411E-1,-3.009949923E-1,-1.404948719E-2
5.438096100E-2,-2.046338320E-1,-2.851129472E-1,-2.199050039E-2
5.674981500E-2,-1.942494214E-1,-2.704526186E-1,-2.932066843E-2
5.911872100E-2,-1.814216375E-1,-2.551814318E-1,-3.481829539E-2
6.148757500E-2,-1.685938388E-1,-2.411319613E-1,-4.031591862E-2
6.385648200E-2,-1.551551968E-1,-2.258607745E-1,-4.520269856E-2
6.622533600E-2,-1.386623234E-1,-2.112004459E-1,-4.886778072E-2
6.859424200E-2,-1.252236813E-1,-1.953184158E-1,-5.253286287E-2
7.096309600E-2,-1.099525094E-1,-1.794363856E-1,-5.558710173E-2
7.333200200E-2,-9.529217333E-2,-1.659977436E-1,-5.803048983E-2
7.570090900E-2,-8.185353130E-2,-1.556133330E-1,-6.047387794E-2
7.806976300E-2,-6.841489673E-2,-1.464506239E-1,-6.230641901E-2
8.043866900E-2,-5.803048983E-2,-1.403421611E-1,-6.597150117E-2
8.280752300E-2,-4.520269856E-2,-1.366770715E-1,-6.658235192E-2
8.517642900E-2,-3.481829539E-2,-1.348445266E-1,-6.841489673E-2
8.754528400E-2,-2.443389036E-2,-1.342336833E-1,-7.024743408E-2
8.991419000E-2,-1.343864016E-2,-1.336228400E-1,-6.963659078E-2
9.228304400E-2,-3.665083554E-3,-1.330119967E-1,-6.780404598E-2
9.465195000E-2,3.054236295E-3,-1.342336833E-1,-6.536065787E-2
9.702080400E-2,1.221694518E-2,-1.354553849E-1,-6.108472496E-2
9.938971100E-2,1.893626526E-2,-1.366770715E-1,-5.314370990E-2
1.017585650E-1,2.504473738E-2,-1.360662282E-1,-4.764608666E-2
1.041274710E-1,3.359659761E-2,-1.378987730E-1,-4.092676565E-2
1.064963250E-1,4.031591862E-2,-1.372879148E-1,-3.359659761E-2
1.088652320E-1,4.764608666E-2,-1.378987730E-1,-2.504473738E-2
1.112341380E-1,5.436540768E-2,-1.385096163E-1,-1.588202827E-2
1.136029920E-1,5.864133686E-2,-1.433963925E-1,-8.551862091E-3
