"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.254161900E-2,-3.134597778E0,5.886343479E0,7.743174076E0
1.487563000E-2,-3.072384357E0,5.824130535E0,7.704888821E0
1.720849400E-2,-2.971885681E0,5.747560024E0,7.666603565E0
1.954135900E-2,-2.871387243E0,5.666203976E0,7.666603565E0
2.187422300E-2,-2.751745939E0,5.580062389E0,7.666603565E0
2.420708800E-2,-2.651247501E0,5.517848969E0,7.719245911E0
2.653995200E-2,-2.522035122E0,5.465207100E0,7.776673794E0
2.887281700E-2,-2.407179594E0,5.407779217E0,7.834101200E0
3.120568200E-2,-2.292324066E0,5.331208706E0,7.910671711E0
3.353854600E-2,-2.215753794E0,5.278566837E0,7.963313580E0
3.587141100E-2,-2.139183521E0,5.254638672E0,8.035098076E0
3.820427500E-2,-2.096112728E0,5.211567879E0,8.092526436E0
4.053714000E-2,-2.072184324E0,5.187639713E0,8.154739380E0
4.286995200E-2,-2.062613010E0,5.158925533E0,8.212167740E0
4.520281700E-2,-2.043470621E0,5.163711071E0,8.240880966E0
4.753568200E-2,-2.029113531E0,5.201996326E0,8.274380684E0
4.986854600E-2,-2.053041935E0,5.230710506E0,8.317451477E0
5.220141100E-2,-2.091326952E0,5.254638672E0,8.327022552E0
5.453427500E-2,-2.105684042E0,5.288137913E0,8.346165657E0
5.686714000E-2,-2.167897224E0,5.316852093E0,8.346165657E0
5.920000500E-2,-2.177468538E0,5.374279499E0,8.370093346E0
6.153286900E-2,-2.234896421E0,5.407779217E0,8.370093346E0
6.386573400E-2,-2.244467735E0,5.450850010E0,8.365307808E0
6.619859800E-2,-2.258824587E0,5.522634506E0,8.370093346E0
6.853146300E-2,-2.282752752E0,5.594419479E0,8.384450912E0
7.086427500E-2,-2.301895380E0,5.675775528E0,8.408378601E0
7.319714000E-2,-2.287538528E0,5.709274769E0,8.422736168E0
7.553000500E-2,-2.273181438E0,5.737988472E0,8.417949677E0
7.786286900E-2,-2.191825628E0,5.766702652E0,8.422736168E0
8.019573400E-2,-2.124826431E0,5.790630817E0,8.389236450E0
8.252859800E-2,-2.048256159E0,5.804987907E0,8.379665375E0
8.486146300E-2,-1.981257200E0,5.795416355E0,8.341380119E0
8.719432700E-2,-1.856830359E0,5.766702652E0,8.293522835E0
8.952719200E-2,-1.679761529E0,5.690132141E0,8.269595146E0
9.186005700E-2,-1.550549030E0,5.603990555E0,8.193024635E0
9.419292100E-2,-1.426122308E0,5.479563713E0,8.111668587E0
9.652578600E-2,-1.292124271E0,5.388636589E0,8.020741463E0
9.885865000E-2,-1.143769264E0,5.273781300E0,7.896314621E0
1.011914630E-1,-1.028913736E0,5.178068161E0,7.834101200E0
1.035243270E-1,-9.092726111E-1,5.063212872E0,7.829315662E0
1.058571920E-1,-8.087740541E-1,4.972285271E0,7.824530125E0
1.081900570E-1,-7.322037220E-1,4.886143684E0,7.819744587E0
1.105229210E-1,-6.891329288E-1,4.814359188E0,7.819744587E0
1.128557860E-1,-6.221339107E-1,4.699503899E0,7.838887215E0
1.151886500E-1,-5.407779217E-1,4.603790760E0,7.896314621E0
1.175215150E-1,-5.120640397E-1,4.488935471E0,7.867600918E0
1.198543800E-1,-6.747759581E-1,4.335794449E0,7.642675400E0
1.221872440E-1,-8.757730722E-1,4.278367043E0,7.786244869E0
1.245201090E-1,-9.188438654E-1,4.168296814E0,8.015955925E0
1.268529730E-1,-8.518448472E-1,4.082155228E0,8.202595711E0
1.291858380E-1,-7.944171429E-1,4.034298897E0,8.441878319E0
1.315186500E-1,-7.944171429E-1,4.019941807E0,8.724231720E0
1.338515150E-1,-8.039883971E-1,4.024727821E0,9.054440498E0
1.361843800E-1,-8.039883971E-1,4.010370731E0,9.461220741E0
1.385172440E-1,-7.848458290E-1,3.981656790E0,9.824930191E0
1.408501090E-1,-7.369893789E-1,3.890729666E0,1.017906761E1
