"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717668606409070E9,"2024-06-06 12:10:06.409 UTC+02:00"
"PAUSE",7.634060716663953E1,1.717668682750765E9,"2024-06-06 12:11:22.751 UTC+02:00"
