"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717770907513457E9,"2024-06-07 16:35:07.513 UTC+02:00"
"PAUSE",5.407728775000032E1,1.717770961590199E9,"2024-06-07 16:36:01.590 UTC+02:00"
