"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717764386294995E9,"2024-06-07 14:46:26.295 UTC+02:00"
"PAUSE",9.089614566666569E1,1.717764477190831E9,"2024-06-07 14:47:57.191 UTC+02:00"
