"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717769227142313E9,"2024-06-07 16:07:07.142 UTC+02:00"
"PAUSE",4.828016775002470E1,1.717769275421938E9,"2024-06-07 16:07:55.422 UTC+02:00"
