"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.310124997E-3,7.107220459E-1,5.138065338E0,8.436456299E0
1.224212500E-2,6.840774536E-1,5.086572418E0,8.284222870E0
2.217412500E-2,6.429130554E-1,5.062921600E0,8.095764771E0
3.210612500E-2,5.370831299E-1,5.037923584E0,8.072263641E0
4.203912500E-2,5.370831299E-1,4.991370392E0,8.094267883E0
5.197112500E-2,5.623805237E-1,5.088218994E0,8.342601471E0
6.190312500E-2,6.494993591E-1,5.088518372E0,8.455616455E0
7.183512500E-2,7.872129822E-1,5.072801056E0,8.484805756E0
8.176812500E-2,8.595126343E-1,5.011578369E0,8.427175598E0
9.170012500E-2,8.641529846E-1,5.007237396E0,8.352331238E0
1.016321250E-1,8.005352783E-1,5.052443390E0,8.305328979E0
1.115641250E-1,8.340655518E-1,5.197342072E0,8.324489136E0
1.214971250E-1,7.560777283E-1,5.280718689E0,8.312214661E0
1.314291250E-1,7.518864441E-1,5.340444489E0,8.159083099E0
1.413611250E-1,8.690927124E-1,5.423671417E0,8.147407379E0
1.512941250E-1,1.016236725E0,5.472170563E0,8.298892365E0
1.612261250E-1,1.288071442E0,5.581892395E0,8.549171906E0
1.711581250E-1,1.226100311E0,5.609584808E0,8.588090973E0
1.810901250E-1,-1.817071381E0,4.347559204E0,7.633526001E0
1.910231250E-1,-9.879455566E-1,4.522695007E0,8.409063263E0
2.009551250E-1,5.158273315E-1,4.998106384E0,8.763077087E0
2.108871250E-1,1.043031006E0,4.940925293E0,8.557105408E0
2.208191250E-1,1.561103668E0,4.772076416E0,8.246201935E0
2.307521250E-1,1.428928528E0,4.603826294E0,8.251291351E0
2.406841250E-1,2.076631622E0,4.823569336E0,8.386609955E0
2.506161250E-1,2.446362762E0,5.063370667E0,8.617429962E0
2.605481250E-1,2.051633606E0,5.199737091E0,8.750952301E0
2.704811250E-1,1.310524750E0,5.172793121E0,8.592881012E0
2.804131250E-1,7.229965210E-1,5.053640900E0,8.317154388E0
2.903451250E-1,4.529580688E-1,4.928201752E0,8.149353333E0
3.002781250E-1,4.185296631E-1,4.888234863E0,8.071515198E0
3.102101250E-1,6.337820435E-1,4.938979340E0,8.091423798E0
3.201421250E-1,8.632548523E-1,4.998106384E0,8.166118469E0
3.300741250E-1,9.596543884E-1,5.004692688E0,8.250393219E0
3.400071250E-1,9.828561401E-1,4.984185333E0,8.428073730E0
3.499391250E-1,9.395960999E-1,4.946463776E0,8.527616730E0
3.598711250E-1,8.689430237E-1,4.935536499E0,8.429869995E0
3.698031250E-1,8.264314270E-1,4.924758911E0,8.266260223E0
3.797361250E-1,8.204438782E-1,4.963079224E0,8.214467926E0
3.896681250E-1,8.575666809E-1,5.014572144E0,8.219108276E0
3.996001250E-1,9.303153992E-1,5.056784363E0,8.191864929E0
4.095321250E-1,9.740245056E-1,5.090614014E0,8.241860962E0
4.194651250E-1,9.613009644E-1,5.109624481E0,8.382718048E0
4.293971250E-1,9.189390564E-1,5.106181641E0,8.610693970E0
4.393291250E-1,8.681945801E-1,5.062173157E0,8.739725647E0
4.492611250E-1,8.078700256E-1,5.054539032E0,8.539442139E0
4.591941250E-1,7.560777283E-1,5.076543274E0,8.287516022E0
4.691261250E-1,7.744894409E-1,5.118156738E0,8.150550842E0
4.790581250E-1,8.125103760E-1,5.179678802E0,8.098758545E0
4.889911250E-1,8.255332947E-1,5.234015808E0,8.201145630E0
4.989231250E-1,8.818162537E-1,5.242548065E0,8.278534698E0
5.088551250E-1,9.280700684E-1,5.213508453E0,8.382268982E0
5.187871250E-1,9.563612366E-1,5.171146545E0,8.588390350E0
5.287201250E-1,9.951306152E-1,5.136568451E0,8.632847900E0
5.386521250E-1,1.037342834E0,5.074747009E0,8.447533264E0
5.485841250E-1,1.049916687E0,5.040168915E0,8.239765320E0
5.585161250E-1,1.060843964E0,5.047803040E0,8.041577454E0
5.684491250E-1,1.039588165E0,5.034630432E0,8.055049438E0
5.783811250E-1,9.496252441E-1,5.039420471E0,8.204139404E0
5.883131250E-1,8.622070313E-1,5.004992065E0,8.362061005E0
5.982451250E-1,8.170010376E-1,4.961582336E0,8.538394318E0
6.081781250E-1,8.390052795E-1,4.929998016E0,8.631201324E0
6.181101250E-1,8.666976929E-1,4.918022919E0,8.521479492E0
6.280421250E-1,9.340576172E-1,4.923112335E0,8.369395752E0
6.379741250E-1,9.488768005E-1,4.955744476E0,8.359665985E0
6.479071250E-1,9.627978516E-1,4.991520081E0,8.405470734E0
6.578391250E-1,9.135502625E-1,4.984335022E0,8.370144196E0
6.677711250E-1,8.569679260E-1,4.968018951E0,8.252638550E0
6.777041250E-1,7.893086243E-1,4.942571869E0,8.219407654E0
6.876361250E-1,8.119116211E-1,4.927752686E0,8.308921509E0
6.975681250E-1,9.125024414E-1,4.925956421E0,8.469088440E0
7.075001250E-1,1.053958282E0,4.925956421E0,8.649613037E0
7.174331250E-1,1.098266144E0,4.937632141E0,8.762478333E0
7.273651250E-1,1.072070618E0,4.972509613E0,8.724008331E0
7.372971250E-1,1.002165985E0,5.056934052E0,8.458460541E0
7.472291250E-1,9.693841553E-1,5.189558258E0,8.109685822E0
7.571621250E-1,9.821076965E-1,5.315296783E0,7.950417023E0
7.670941250E-1,9.708810425E-1,5.386398926E0,7.981851654E0
7.770261250E-1,9.382489014E-1,5.426964569E0,8.178991699E0
7.869581250E-1,8.842112732E-1,5.378166046E0,8.356522522E0
7.968911250E-1,7.967930603E-1,5.281317444E0,8.329129486E0
8.068231250E-1,6.911128235E-1,5.198240204E0,8.320447540E0
8.167551250E-1,6.364764404E-1,5.117707672E0,8.365054779E0
8.266881250E-1,6.114784241E-1,5.082231445E0,8.279582520E0
8.366201250E-1,6.280938721E-1,5.090614014E0,8.104446716E0
8.465521250E-1,6.436614990E-1,5.101241913E0,8.048762512E0
8.564841250E-1,6.861730957E-1,5.100792847E0,8.132288818E0
8.664171250E-1,7.589218140E-1,5.064568176E0,8.397986298E0
8.763491250E-1,7.972421265E-1,4.994064789E0,8.603808289E0
8.862811250E-1,8.087681580E-1,4.932093658E0,8.640631714E0
8.962131250E-1,8.232879639E-1,4.888234863E0,8.604556732E0
9.061461250E-1,7.927514648E-1,4.883594513E0,8.359965363E0
9.160781250E-1,7.470964050E-1,4.963677979E0,8.102949829E0
9.260101250E-1,6.978488159E-1,5.042414246E0,8.068072357E0
9.359421250E-1,7.002438354E-1,5.107977905E0,8.110434265E0
9.458751250E-1,6.849755859E-1,5.145400085E0,8.120762787E0
9.558071250E-1,7.042854309E-1,5.136418762E0,8.142767029E0
9.657391250E-1,7.414082336E-1,5.098846893E0,8.329129486E0
9.756711250E-1,7.584727478E-1,5.044210510E0,8.529862061E0
9.856041250E-1,7.469467163E-1,4.990621948E0,8.468040619E0
9.955361250E-1,7.198530579E-1,4.988376617E0,8.243208160E0
1.005468125E0,6.590794373E-1,5.015170898E0,8.070317688E0
1.015401125E0,5.637277222E-1,5.070256348E0,7.986192627E0
1.025333125E0,4.607418823E-1,5.082680511E0,8.098908234E0
1.035265125E0,4.117936707E-1,5.062322845E0,8.247698822E0
1.045197125E0,4.507127380E-1,5.058131561E0,8.212821350E0
1.055130125E0,5.105882263E-1,5.042264557E0,8.094567261E0
1.065062125E0,5.677693176E-1,5.045108643E0,8.065527649E0
1.074994125E0,6.138734436E-1,5.052293701E0,8.121211853E0
1.084926125E0,5.998027039E-1,5.066663818E0,8.233029327E0
1.094859125E0,5.875282288E-1,5.051245880E0,8.203091583E0
1.104791125E0,5.295986938E-1,5.083129578E0,8.043822784E0
1.114723125E0,5.237608337E-1,5.094805298E0,7.851472778E0
1.124655125E0,6.032455444E-1,5.141957245E0,7.812703400E0
1.134588125E0,6.982978821E-1,5.173990631E0,8.076454926E0
1.144520125E0,8.044271851E-1,5.198539581E0,8.390352173E0
1.154452125E0,8.598120117E-1,5.179529114E0,8.529263306E0
1.164385125E0,9.027726746E-1,5.160967712E0,8.465795288E0
1.174317125E0,9.086105347E-1,5.179978180E0,8.337212677E0
1.184249125E0,9.030720520E-1,5.203928375E0,8.209079132E0
1.194181125E0,8.794212341E-1,5.225633240E0,8.121211853E0
1.204114125E0,8.184979248E-1,5.234015808E0,8.102949829E0
1.214046125E0,7.807763672E-1,5.243745575E0,8.154293060E0
1.223978125E0,7.200027466E-1,5.238057404E0,8.198600922E0
1.233910125E0,6.966513062E-1,5.242548065E0,8.420888672E0
1.243843125E0,7.382647705E-1,5.214556274E0,8.811426544E0
1.253775125E0,8.448431396E-1,5.197641449E0,9.008416901E0
1.263707125E0,9.431886292E-1,5.228327637E0,8.966054993E0
1.273639125E0,9.485774231E-1,5.263055420E0,8.712482300E0
1.283572125E0,8.723858643E-1,5.318140869E0,8.379424896E0
1.293504125E0,7.306306458E-1,5.309159546E0,8.162975006E0
1.303436125E0,5.983058167E-1,5.284011841E0,8.153694305E0
1.313368125E0,5.849835205E-1,5.212011566E0,8.405171356E0
1.323301125E0,7.035369873E-1,5.155728607E0,8.836873627E0
1.333233125E0,8.878038025E-1,5.073250122E0,9.105115814E0
1.343165125E0,1.056353302E0,5.052892456E0,8.794511719E0
1.353097125E0,1.187330933E0,5.087620239E0,8.256530457E0
1.363030125E0,1.245110779E0,5.137765961E0,7.907306671E0
1.372962125E0,1.144969025E0,5.137316895E0,7.850424957E0
1.382894125E0,9.650431824E-1,5.072052612E0,7.925419006E0
1.392827125E0,8.330177307E-1,4.944667511E0,7.914042664E0
1.402759125E0,7.869136047E-1,4.821773071E0,7.736362152E0
1.412691125E0,8.065228271E-1,4.744384003E0,7.551496582E0
1.422623125E0,8.336164856E-1,4.702022095E0,7.302115173E0
1.432556125E0,8.647517395E-1,4.711602173E0,6.857090607E0
1.442488125E0,9.196875000E-1,4.721331940E0,6.559060364E0
1.452420125E0,9.704319763E-1,4.701273651E0,6.261030121E0
1.462352125E0,9.976753235E-1,4.716242523E0,5.759123840E0
1.472285125E0,1.030606842E0,4.722978516E0,5.525459747E0
1.482217125E0,1.051413574E0,4.728367310E0,5.467380524E0
1.492149125E0,1.022224274E0,4.750670929E0,5.491480408E0
1.502081125E0,9.889933777E-1,4.804708557E0,5.567222900E0
1.512014125E0,9.648934937E-1,4.871020660E0,5.457052002E0
1.521946042E0,9.144483948E-1,4.937632141E0,5.163811798E0
1.531878042E0,9.675878906E-1,5.000501404E0,4.932991791E0
1.541811042E0,1.057101746E0,5.010231171E0,5.036875763E0
1.551743042E0,1.142574005E0,4.963228912E0,5.328918457E0
1.561675042E0,1.275198212E0,4.890031128E0,5.559738464E0
1.571607042E0,1.350192261E0,4.823120270E0,5.519322510E0
1.581540042E0,1.324445801E0,4.766687622E0,5.284610596E0
1.591472042E0,1.075812836E0,4.688550110E0,5.231022034E0
1.601404042E0,6.968009949E-1,4.610861664E0,5.463787994E0
1.611336042E0,1.984872437E-1,4.497547302E0,5.801186371E0
1.621269042E0,-2.059716797E-1,4.336482239E0,5.799090729E0
1.631201042E0,-4.602928162E-1,4.129462738E0,5.369933167E0
1.641133042E0,-5.426216125E-1,3.888763275E0,4.902904358E0
1.651065042E0,-3.198847961E-1,3.651207275E0,4.708758087E0
1.660998042E0,1.414558411E-1,3.355422363E0,5.052144012E0
1.670930042E0,6.340814209E-1,3.090173950E0,5.619913330E0
1.680862042E0,1.100062408E0,2.890040131E0,6.097420349E0
1.690794042E0,1.450034637E0,2.748284912E0,6.385421448E0
1.700727042E0,1.480720825E0,2.699187012E0,6.322252808E0
1.710659042E0,1.180894318E0,2.740950165E0,6.243516541E0
1.720591042E0,7.641609192E-1,2.772235107E0,6.614445190E0
1.730523042E0,3.299139404E-1,2.847827911E0,7.692353668E0
1.740456042E0,-4.206253052E-2,2.896327057E0,9.236093445E0
1.750388042E0,-1.019380188E-1,2.917882233E0,1.032717453E1
1.760320042E0,2.653981018E-1,2.847528534E0,1.002240829E1
1.770253042E0,7.342231750E-1,2.724783783E0,8.994645538E0
1.780185042E0,8.851094055E-1,2.587519226E0,7.972720642E0
1.790117042E0,7.768844604E-1,2.357747040E0,7.214397583E0
1.800049042E0,4.945715332E-1,2.004032593E0,7.703879700E0
1.809982042E0,1.216969299E-1,1.631157990E0,9.421258392E0
1.819914042E0,-2.089654541E-1,1.294208679E0,1.044273422E1
1.829846042E0,-3.221301270E-1,9.925859070E-1,9.805808716E0
1.839778042E0,-3.652404785E-1,7.005432129E-1,8.935069427E0
1.849711042E0,-4.599934387E-1,4.499642944E-1,9.750274200E0
1.859643042E0,-4.656816101E-1,2.728825378E-1,1.163784897E1
1.869575042E0,-2.406994629E-1,1.083746338E-1,1.170535858E1
1.879507042E0,3.023712158E-2,3.008743286E-2,9.322314148E0
1.889440042E0,1.098715210E-1,-6.092330933E-2,7.866441650E0
1.899372042E0,-1.916015625E-2,-1.713935852E-1,8.754844208E0
1.909304042E0,-3.972738647E-1,-2.008822632E-1,1.012853760E1
1.919236042E0,-9.096583557E-1,-1.833686829E-1,1.075827805E1
1.929169042E0,-1.449286194E0,-1.913021851E-1,1.136885834E1
1.939101042E0,-1.901196442E0,-2.502795410E-1,1.211191315E1
1.949033042E0,-2.157912598E0,-3.460803223E-1,1.220696548E1
1.958966042E0,-2.069745941E0,-5.646258545E-1,1.242850479E1
1.968898042E0,-1.817221069E0,-7.517367554E-1,1.261920822E1
