Timestamps,Gyro_X,Gyro_Y,Gyro_Z,Label,Set_Time
1.71769290655832e+18,-0.693606357235,0.263653835832,0.13489556297445,1,19000000000.0
1.71769290675832e+18,-0.4395406571235,0.634191983742,0.2545706432315001,1,19000000000.0
1.71769290695832e+18,-0.3904780810662499,0.099070708092,0.21545597054,1,19000000000.0
1.71769290715832e+18,0.4934173800214999,0.240383405705,0.0313414205581499,1,19000000000.0
1.71769290735832e+18,0.2242549033749999,0.54389613718,0.2329143090602499,1,19000000000.0
1.71769290755832e+18,0.6376493543199999,0.17570929260105,0.2720333921165,1,19000000000.0
1.71769290775832e+18,-0.0110368202189473,-0.435719875511579,-0.3667351070173684,1,19000000000.0
1.71769290795832e+18,-0.3243298221485,0.413067932047,-0.0496547886166,1,19000000000.0
1.71769290815832e+18,-0.1209131404115499,0.6640964031,-0.0946099707204,1,19000000000.0
1.71769290835832e+18,-0.195954745616,0.3139954763914999,-0.107878986726,1,19000000000.0
1.71769290855832e+18,-0.2067069358143999,-0.288829475549,-0.73031688296835,1,19000000000.0
1.71769290875832e+18,-0.175546535101,-0.2174870229061999,-1.25034025013,1,19000000000.0
1.71769290895832e+18,1.442757346067,-1.032120730065,-0.19603507761,1,19000000000.0
1.71769290915832e+18,2.323930520773685,0.7493700431547369,1.4194408027894736,1,19000000000.0
1.71769290935832e+18,-0.21692107169,1.9876599669100004,-0.1837667872715,1,19000000000.0
1.71769290955832e+18,-0.4995576802545,-0.4648407339795,-0.142016652123,1,19000000000.0
1.71769290975832e+18,-0.1456486768874999,0.0297108823104999,-0.15995196145,1,19000000000.0
1.71769290995832e+18,0.137138863006,0.4619224377899,-0.61158767949585,1,19000000000.0
1.71769291015832e+18,-0.171929289866,-0.8736438095524999,-0.2761397794029999,1,19000000000.0
1.71769291035832e+18,-0.07906920099,-0.5677677063434999,1.534495528085,1,19000000000.0
1.71769291055832e+18,0.1559734938378947,0.7743400350999999,0.1128566202078948,1,19000000000.0
1.71769291075832e+18,-0.2767032764779999,-0.249653642992,-0.52008195952375,1,19000000000.0
1.71769291095832e+18,-0.2292544871514999,0.11733187874785,0.233633776208,1,19000000000.0
1.71769291115832e+18,-0.516347902995,-0.4841428340609999,0.5383807333400001,1,19000000000.0
