"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.065804167E-2,-5.986079574E-3,-5.713980645E-4,-2.624185756E-2
2.059004167E-2,-1.251774747E-2,-3.905942198E-3,-1.652078703E-2
3.052204167E-2,-1.061266661E-2,-1.082529873E-2,-5.813622847E-3
4.045404167E-2,-6.181698758E-3,-2.679547481E-2,-2.076686360E-4
5.038604167E-2,-3.226008965E-3,-4.291776195E-2,-4.473715089E-3
6.031804167E-2,3.058252158E-3,-5.029658228E-2,-1.106743515E-2
7.025004167E-2,4.915080033E-3,-4.913628101E-2,-1.629598252E-2
8.018204167E-2,7.312989794E-3,-4.880977795E-2,-2.259808592E-2
9.011404167E-2,7.915182039E-3,-4.116746783E-2,-2.214546129E-2
1.000460417E-1,9.023856372E-3,-4.207347333E-2,-1.993530430E-2
1.099780417E-1,3.679791931E-3,-7.442585193E-3,-1.047411747E-2
1.199100417E-1,2.235559747E-3,-2.458189055E-2,-4.069646820E-2
1.298420417E-1,-3.328858293E-4,-2.902413532E-2,-3.869342431E-2
1.397740417E-1,-3.807245754E-3,-2.230471373E-2,-4.629488662E-2
1.497059167E-1,-1.070188172E-2,-7.827111520E-3,-4.217749089E-2
1.596379167E-1,-1.065767370E-2,5.781375337E-3,-3.587511927E-2
1.695699167E-1,-6.358706392E-3,2.048664540E-2,-3.408608586E-2
1.795019167E-1,-7.670313120E-3,2.243448235E-2,-2.506782301E-2
1.894339167E-1,-1.941517182E-2,-7.881183177E-3,1.519315876E-2
1.993659167E-1,-9.827258065E-3,2.436064370E-2,-2.875856124E-3
2.092979167E-1,-7.677626330E-3,2.676897310E-2,-2.814374398E-3
2.192299167E-1,-9.892044589E-3,1.745909452E-2,7.864901796E-3
2.291619167E-1,-1.192136202E-2,1.970496029E-2,1.700436696E-2
2.390939167E-1,-1.609773189E-2,2.342832647E-2,2.357118949E-2
2.490259167E-1,-1.616389118E-2,2.342224121E-2,3.562938049E-2
2.589579167E-1,-1.595536619E-2,2.679060586E-2,4.092694074E-2
2.688899167E-1,-1.596440002E-2,2.996922098E-2,4.690029100E-2
2.788219167E-1,-1.726402342E-2,3.563509136E-2,5.620191619E-2
2.887539167E-1,-1.868727803E-2,6.409856677E-2,6.552998722E-2
2.986859167E-1,-2.961875498E-2,2.994859032E-2,7.414957881E-2
3.086179167E-1,-3.539561108E-2,3.140743449E-2,7.707376033E-2
3.185499167E-1,-3.058860637E-2,4.652087390E-2,6.473320723E-2
3.284819167E-1,-2.550280839E-2,3.950558603E-2,5.894319341E-2
3.384139167E-1,-2.412462234E-2,3.010968678E-2,5.334176868E-2
3.483459167E-1,-2.093525231E-2,2.728489600E-2,4.938457161E-2
3.582779167E-1,-1.525126770E-2,2.521109395E-2,4.606201127E-2
3.682099167E-1,-1.652082615E-2,2.498954348E-2,4.043395072E-2
3.781419167E-1,-1.285684947E-2,2.880585566E-2,3.875509277E-2
3.880739167E-1,-8.475682698E-3,2.771449089E-2,3.548739478E-2
3.980059167E-1,4.842559574E-4,2.085818164E-2,3.579286113E-2
4.079379167E-1,2.090797760E-3,1.794288866E-2,3.243081272E-2
4.178699167E-1,9.644853882E-3,1.971708611E-2,2.665601298E-2
4.278019167E-1,9.633841924E-3,2.425741591E-2,2.213510871E-2
4.377339167E-1,8.940621279E-3,2.932354622E-2,1.669933088E-2
4.476659167E-1,1.176519133E-2,1.951578632E-2,2.294885367E-2
4.575979167E-1,1.462089829E-2,1.534154639E-2,2.634944394E-2
4.675299167E-1,1.003576443E-2,1.292976271E-2,1.860524155E-2
4.774619167E-1,8.992337622E-3,1.114624366E-2,6.197574548E-3
4.873939167E-1,1.101505943E-2,1.194689516E-2,1.801648643E-3
4.973259167E-1,1.721756160E-2,1.690516621E-2,-6.603287533E-3
5.072579167E-1,2.659607679E-2,2.480014414E-2,-2.508672886E-2
5.171899167E-1,3.619837016E-2,2.350930870E-2,-4.372699186E-2
5.271219167E-1,3.516104817E-2,1.814930514E-2,-4.963403195E-2
5.370539167E-1,3.476423770E-2,3.047939390E-4,-5.676943809E-2
5.469859167E-1,3.265039250E-2,-6.113781594E-3,-7.099410146E-2
5.569179167E-1,3.846114129E-2,-4.777140915E-3,-6.821829081E-2
5.668499167E-1,3.164876997E-2,-6.087534595E-3,-6.586603820E-2
5.767819167E-1,3.653939813E-2,1.810069662E-3,-4.338789731E-2
5.867139167E-1,3.916701674E-2,-5.824217107E-3,4.918192513E-3
5.966459167E-1,3.651371226E-2,-2.596465871E-3,2.013762482E-2
6.065779167E-1,3.185532987E-2,1.297736773E-3,1.578643546E-2
6.165099167E-1,2.567786165E-2,1.147846878E-2,7.704689633E-4
6.264419167E-1,1.964815706E-2,1.716699079E-2,-5.433931015E-3
6.363739167E-1,2.097148076E-2,1.691691950E-2,1.419980312E-3
6.463059167E-1,2.215183526E-2,2.163390256E-2,9.340254590E-3
6.562379167E-1,2.201708034E-2,2.686248533E-2,1.494860649E-2
6.661699167E-1,1.947212219E-2,2.361077629E-2,1.995398290E-2
6.761019167E-1,1.819513738E-2,1.600478776E-2,2.737195231E-2
6.860339167E-1,1.473158412E-2,1.081024017E-2,3.027117252E-2
6.959659167E-1,1.198772993E-2,2.394651296E-3,3.030765802E-2
7.058979167E-1,1.271531358E-2,-8.890116587E-3,3.529348224E-2
7.158299167E-1,1.956895925E-2,-2.235532552E-2,4.274260998E-2
7.257619167E-1,3.013080917E-2,-3.511546552E-2,4.843340442E-2
7.356939167E-1,3.883375600E-2,-4.555479065E-2,5.130189657E-2
7.456259167E-1,3.741557151E-2,-6.749135256E-2,5.206686631E-2
7.555579167E-1,7.715073973E-2,-1.591586918E-1,6.148220599E-2
7.654899167E-1,9.856417030E-2,-2.536926866E-1,6.164306775E-2
7.754219167E-1,8.337323368E-2,-2.463689893E-1,4.088398814E-2
7.853539167E-1,5.586535484E-2,-1.784262359E-1,8.663549088E-3
7.952859167E-1,4.159454256E-2,-1.043624058E-1,-1.676564291E-2
8.052179167E-1,2.385977097E-2,-8.020155132E-2,-3.190263361E-2
8.151499167E-1,1.481328066E-2,-1.027148515E-1,-2.817500755E-2
8.250819167E-1,1.767155901E-2,-1.593451947E-1,-1.679657400E-2
8.350139167E-1,1.801643893E-2,-1.956059933E-1,6.249889731E-3
8.449459167E-1,2.150894888E-2,-2.051899284E-1,2.656638063E-2
8.548779167E-1,2.594790608E-2,-1.923066229E-1,3.847390786E-2
8.648099167E-1,4.449311271E-2,-1.522088647E-1,4.274656624E-2
8.747419167E-1,9.787245095E-2,-1.190059111E-1,4.469866306E-2
8.846739167E-1,1.415767372E-1,-1.106829867E-1,4.554737732E-2
8.946059167E-1,1.563224047E-1,-1.456106007E-1,4.551381990E-2
9.045379167E-1,1.679694951E-1,-1.668121815E-1,4.530251771E-2
9.144709167E-1,2.205440253E-1,-1.081163660E-1,4.096928984E-2
9.244019167E-1,2.691212893E-1,-4.130838066E-2,3.572347015E-2
9.343339167E-1,3.120807409E-1,6.897229701E-3,3.479429334E-2
9.442669167E-1,3.502202928E-1,-3.588411259E-3,2.090903372E-2
9.541989167E-1,3.580484092E-1,-5.174155906E-2,2.129758894E-2
9.641309167E-1,3.598739207E-1,-1.106169447E-1,1.730881445E-2
9.740629167E-1,3.813235462E-1,-9.711284935E-2,1.866383106E-2
9.839949167E-1,3.797651529E-1,-9.591113776E-2,1.716678962E-2
9.939269167E-1,3.420068622E-1,-1.335455924E-1,4.757791292E-3
1.003858917E0,3.127517402E-1,-1.656136364E-1,-8.137256373E-4
1.013790917E0,2.968707681E-1,-1.752590686E-1,-2.149503678E-2
1.023722917E0,2.988040447E-1,-1.635497361E-1,-5.860158801E-2
1.033654917E0,3.034382164E-1,-1.428436488E-1,-1.041261926E-1
1.043586917E0,3.331477046E-1,-1.206815243E-1,-1.432761103E-1
1.053518917E0,3.622033298E-1,-9.153962135E-2,-1.577570438E-1
1.063450917E0,3.556692600E-1,-3.373931721E-2,-1.508478820E-1
1.073382917E0,3.360795677E-1,5.468803458E-3,-1.255377382E-1
1.083314917E0,3.196284175E-1,3.077153489E-2,-9.161942452E-2
1.093246917E0,2.982879877E-1,4.477123916E-2,-5.161581561E-2
1.103178917E0,2.826258540E-1,4.407816380E-2,-2.559371851E-2
1.113110917E0,2.794050276E-1,3.347558901E-2,-2.079338301E-3
