"event","experiment time","system time","system time text"
"START",0.000000000E0,1717676084.287,"2024-06-06 15:14:44.287 UTC+03:00"
"PAUSE",1.133009858E2,1717676197.588,"2024-06-06 15:16:37.588 UTC+03:00"
