"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.142632083E-1,-1.893562317E-1,4.342469788E0,7.992629242E0
9.241962083E-1,-2.112107849E-1,4.157903595E0,8.170160065E0
9.341292083E-1,-1.793270874E-1,3.941004639E0,8.295150146E0
9.440632083E-1,-9.205856323E-2,3.727997589E0,8.315358124E0
9.539962083E-1,8.652008057E-2,3.547323303E0,8.315208435E0
9.639292083E-1,3.138972473E-1,3.423231354E0,8.469238129E0
9.738622083E-1,5.034031677E-1,3.340752869E0,8.682394867E0
9.837962083E-1,6.706054688E-1,3.320395203E0,8.739276581E0
9.937292083E-1,7.228468323E-1,3.348686371E0,8.517587585E0
1.003662208E0,6.620732117E-1,3.318299561E0,8.324938202E0
1.013596208E0,5.830375671E-1,3.282673645E0,8.536598053E0
1.023529208E0,5.900729370E-1,3.207978973E0,9.069040833E0
1.033462208E0,5.809419250E-1,3.108735352E0,9.518556061E0
1.043395208E0,5.927673340E-1,2.987786865E0,9.648036804E0
1.053329208E0,5.652246094E-1,2.818638611E0,9.338929596E0
1.063262208E0,3.766168213E-1,2.637814636E0,8.773555298E0
1.073195208E0,1.562750244E-1,2.437830505E0,8.450227661E0
1.083128208E0,-5.269042969E-2,2.217788086E0,8.439749451E0
1.093062208E0,-2.531236267E-1,1.976789246E0,8.409811707E0
1.102995208E0,-4.278103638E-1,1.733395386E0,8.288713531E0
1.112928208E0,-5.556445312E-1,1.548080750E0,8.309819641E0
1.122861208E0,-5.860313416E-1,1.385369110E0,8.342152405E0
1.132795208E0,-5.833369446E-1,1.317260742E0,8.359366608E0
1.142728208E0,-5.966592407E-1,1.324894867E0,8.380472717E0
1.152661208E0,-5.821394348E-1,1.310674438E0,8.559350739E0
1.162595208E0,-5.875282288E-1,1.291813660E0,8.671317902E0
1.172528208E0,-5.572911072E-1,1.253643036E0,8.585097198E0
1.182461208E0,-5.104385376E-1,1.225202179E0,8.523575134E0
1.192394208E0,-3.903881836E-1,1.210682373E0,8.365054779E0
1.202328208E0,-2.670446777E-1,1.196012878E0,8.249944153E0
1.212261208E0,-1.701960754E-1,1.146765289E0,8.346942444E0
1.222194208E0,-9.714797974E-2,1.105002136E0,8.521778870E0
1.232127208E0,-1.814227295E-1,1.043779449E0,8.646768951E0
1.242061208E0,-3.685336304E-1,9.880952454E-1,8.760083313E0
1.251994208E0,-5.897735596E-1,9.553134155E-1,8.903784485E0
1.261927208E0,-9.183403015E-1,8.152047729E-1,9.028026123E0
1.271860208E0,-1.154549103E0,6.201603699E-1,8.997938690E0
1.281794208E0,-1.231489105E0,4.607418823E-1,8.810378723E0
1.291727208E0,-1.160985718E0,3.005749512E-1,8.774752808E0
1.301660208E0,-9.009764099E-1,2.140548706E-2,8.740474091E0
1.311593208E0,-4.007167053E-1,-2.550695801E-1,8.535849609E0
1.321527208E0,3.802093506E-2,-4.980143738E-1,8.435558167E0
1.331460208E0,4.131408691E-1,-7.280859375E-1,8.556506653E0
1.341393208E0,6.007008362E-1,-8.964857483E-1,9.017697601E0
1.351326208E0,4.800517273E-1,-1.049617310E0,9.697583771E0
1.361259750E0,1.770817566E-1,-1.125958557E0,1.040246796E1
1.371192750E0,-2.088157654E-1,-1.166524200E0,1.060604462E1
1.381125750E0,-4.305047607E-1,-1.208886108E0,1.012763947E1
1.391059750E0,-3.290158081E-1,-1.230441284E0,9.646090851E0
1.400992750E0,5.373825073E-2,-1.243763580E0,9.385033722E0
1.410925750E0,3.167413330E-1,-1.342109070E0,9.074279938E0
1.420858750E0,3.098556519E-1,-1.529519348E0,8.835227051E0
1.430792750E0,9.535171509E-2,-1.744322662E0,8.943751373E0
1.440725750E0,-1.278341675E-1,-2.040706329E0,9.288334808E0
1.450658750E0,-4.117936707E-1,-2.349214783E0,9.662257233E0
1.460591750E0,-7.620652771E-1,-2.619253235E0,9.883946228E0
1.470525750E0,-9.915380859E-1,-2.756817169E0,9.901908875E0
1.480458750E0,-1.086889801E0,-2.834804993E0,1.021939865E1
1.490391750E0,-1.198258209E0,-2.900817719E0,1.077429474E1
1.500324750E0,-1.274749146E0,-2.874173126E0,1.096664474E1
1.510258750E0,-1.355730743E0,-2.849773865E0,1.074420731E1
1.520191750E0,-1.505419464E0,-2.714754639E0,1.067011139E1
1.530124750E0,-1.869462433E0,-2.901865540E0,1.109223358E1
1.540057750E0,-2.501148834E0,-3.585793304E0,1.155686737E1
1.549991750E0,-2.725981293E0,-4.074676666E0,1.187016586E1
1.559924750E0,-2.423310699E0,-4.129762115E0,1.189531357E1
1.569857750E0,-2.059716797E0,-4.292773132E0,1.197809143E1
1.579790750E0,-1.862127686E0,-4.553231506E0,1.212089447E1
1.589724750E0,-1.524878998E0,-4.445156250E0,1.241832596E1
1.599657750E0,-1.801354065E0,-5.266647949E0,1.282817368E1
1.609590750E0,-2.255809021E0,-5.905818787E0,1.292292664E1
1.619523750E0,-2.123933258E0,-5.810167694E0,1.298729279E1
1.629457750E0,-1.960622864E0,-5.727988586E0,1.309701462E1
1.639390750E0,-1.804497528E0,-5.694458313E0,1.307575882E1
1.649323750E0,-1.749412079E0,-5.583389282E0,1.315793793E1
1.659256750E0,-1.945354614E0,-5.326224060E0,1.311078598E1
1.669190750E0,-2.326013031E0,-4.995262299E0,1.279539185E1
1.679123750E0,-2.488275604E0,-4.597988434E0,1.248852997E1
1.689056750E0,-2.337688751E0,-4.314328308E0,1.223031693E1
1.698989750E0,-2.029329987E0,-4.189936981E0,1.201566330E1
1.708923750E0,-1.726210327E0,-4.123924255E0,1.198886902E1
1.718856750E0,-1.575024719E0,-4.103865967E0,1.193782516E1
1.728789750E0,-1.536854095E0,-4.081562347E0,1.166419418E1
1.738722750E0,-1.569186859E0,-4.090393982E0,1.130898285E1
1.748656750E0,-1.563648376E0,-4.119732971E0,1.103340591E1
1.758589750E0,-1.568288727E0,-4.127067719E0,1.111139374E1
1.768522750E0,-1.632056122E0,-4.082310791E0,1.124641296E1
