"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717763707292713E9,"2024-06-07 14:35:07.293 UTC+02:00"
"PAUSE",1.529685898333337E2,1.717763860260780E9,"2024-06-07 14:37:40.261 UTC+02:00"
