"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717769647231362E9,"2024-06-07 16:14:07.231 UTC+02:00"
"PAUSE",1.639956798749918E2,1.717769811225227E9,"2024-06-07 16:16:51.225 UTC+02:00"
