"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717717155910297E9,"2024-06-07 01:39:15.910 UTC+02:00"
"PAUSE",8.735338604166668E1,1.717717243263209E9,"2024-06-07 01:40:43.263 UTC+02:00"
