"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717672208446709E9,"2024-06-06 13:10:08.447 UTC+02:00"
"PAUSE",1.033835960833821E2,1.717672311831377E9,"2024-06-06 13:11:51.831 UTC+02:00"
