"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717716817953913E9,"2024-06-07 01:33:37.954 UTC+02:00"
"PAUSE",1.527188333333334E2,1.717716970671915E9,"2024-06-07 01:36:10.672 UTC+02:00"
