"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717848954513000E9,"2024-06-08 14:15:54.513 UTC+02:00"
"PAUSE",2.308878791664028E0,1.717848956821000E9,"2024-06-08 14:15:56.821 UTC+02:00"
"START",2.308878791664028E0,1.717848961129000E9,"2024-06-08 14:16:01.129 UTC+02:00"
"PAUSE",6.361398333334364E1,1.717849022433000E9,"2024-06-08 14:17:02.433 UTC+02:00"
