"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.777341666E-2,-2.356100464E-1,7.753875732E-2,1.010922775E1
3.783141664E-2,-2.336640930E-1,7.409591675E-2,1.010788055E1
4.788941666E-2,-2.377056885E-1,7.274871826E-2,1.012180161E1
5.794841665E-2,-2.365081787E-1,7.469467163E-2,1.011401779E1
6.800641667E-2,-2.448907471E-1,8.053253174E-2,1.011611343E1
7.806541666E-2,-2.442919922E-1,9.011260986E-2,1.011581406E1
8.812341667E-2,-2.351609802E-1,8.158035278E-2,1.011117371E1
9.818241667E-2,-2.366578674E-1,7.723937988E-2,1.011296997E1
1.082404167E-1,-2.341131592E-1,7.738906860E-2,1.011776001E1
1.182994166E-1,-2.335144043E-1,8.068222046E-2,1.011761032E1
1.283574167E-1,-2.366578674E-1,7.005432129E-2,1.011087433E1
1.384154167E-1,-2.281256104E-1,7.783813477E-2,1.011461655E1
1.484744167E-1,-2.389031982E-1,7.783813477E-2,1.011296997E1
1.585324167E-1,-2.466870117E-1,7.274871826E-2,1.010862900E1
1.685914166E-1,-2.441423035E-1,7.080276489E-2,1.010758118E1
1.786494167E-1,-2.404000854E-1,7.409591675E-2,1.010922775E1
1.887084167E-1,-2.483335876E-1,8.158035278E-2,1.010638367E1
1.987664167E-1,-2.448907471E-1,7.185058594E-2,1.010952713E1
2.088254167E-1,-2.366578674E-1,8.502319336E-2,1.010997620E1
2.188834166E-1,-2.356100464E-1,7.783813477E-2,1.011252090E1
2.289414167E-1,-2.412982178E-1,7.903564453E-2,1.010832962E1
2.390004167E-1,-2.324665833E-1,8.128097534E-2,1.011012589E1
2.490584167E-1,-2.474354553E-1,8.397537231E-2,1.011671219E1
2.591213333E-1,-2.356100464E-1,7.589218140E-2,1.011117371E1
2.691793333E-1,-2.406994629E-1,7.185058594E-2,1.010518616E1
2.792383333E-1,-2.386038208E-1,7.978408813E-2,1.010758118E1
2.892963333E-1,-2.424957275E-1,7.634124756E-2,1.011042526E1
2.993553333E-1,-2.447410583E-1,7.514373779E-2,1.010623398E1
3.094133333E-1,-2.363584900E-1,8.696914673E-2,1.010862900E1
