"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.347916692E-3,-3.719914398E0,2.764750671E0,8.738677826E0
1.437591668E-2,-3.881129150E0,2.594853973E0,8.743767242E0
2.440491668E-2,-3.958667908E0,2.473456421E0,8.784033508E0
3.443391668E-2,-3.943399658E0,2.578388214E0,8.705147552E0
4.446191667E-2,-3.814517670E0,2.617456970E0,8.727900238E0
5.449091666E-2,-3.587439880E0,2.614912262E0,8.728648682E0
6.451991666E-2,-3.527564392E0,2.579286346E0,8.638835449E0
7.454791665E-2,-3.489393768E0,2.483186188E0,8.550219727E0
8.457691665E-2,-3.491339722E0,2.439477081E0,8.639733582E0
9.460591665E-2,-3.545676727E0,2.498753815E0,8.592431946E0
1.046349166E-1,-3.593726807E0,2.535128174E0,8.550369415E0
1.146629166E-1,-3.690276031E0,2.607128448E0,8.533604279E0
1.246919166E-1,-3.728147278E0,2.636916504E0,8.625513153E0
1.347209166E-1,-3.665577393E0,2.631378021E0,8.723708954E0
1.447489167E-1,-3.664529572E0,2.734064484E0,8.692274323E0
1.547779167E-1,-3.557053070E0,2.829266510E0,8.840017090E0
1.648069167E-1,-3.495980072E0,2.677631836E0,8.791068878E0
1.748349167E-1,-3.480262756E0,2.657573547E0,8.490493927E0
1.848639167E-1,-3.476969604E0,2.595901794E0,8.398884430E0
1.948929167E-1,-3.579207001E0,2.556084595E0,8.368347931E0
2.049219167E-1,-3.542383575E0,2.548151093E0,8.463400269E0
2.149499167E-1,-3.493734741E0,2.341730347E0,8.625662842E0
2.249789167E-1,-3.501518555E0,2.264790344E0,8.748706970E0
2.350079167E-1,-3.490591278E0,2.354304199E0,8.982520752E0
2.450359167E-1,-3.641178131E0,2.273023224E0,8.898844757E0
2.550649167E-1,-3.578608246E0,2.219135284E0,8.925339661E0
2.650939167E-1,-3.304378510E0,2.048490143E0,8.705446930E0
2.751219167E-1,-3.083288269E0,2.158960419E0,8.530760193E0
2.851509167E-1,-3.063379669E0,2.023192749E0,8.696166229E0
2.951799167E-1,-3.268153839E0,1.875899048E0,8.656199341E0
3.052079167E-1,-3.467988281E0,2.100432129E0,8.845256195E0
3.152369166E-1,-3.793112183E0,2.362387390E0,9.011560364E0
3.252659166E-1,-4.101770325E0,2.069446564E0,8.889863434E0
3.352949166E-1,-4.452940063E0,1.834285583E0,9.068292389E0
3.453229166E-1,-5.121000824E0,1.923649750E0,8.589887238E0
3.553519166E-1,-5.473218384E0,2.109563141E0,8.245004425E0
3.653809166E-1,-5.451064453E0,2.215991821E0,7.992629242E0
3.754089167E-1,-5.308111725E0,2.416425018E0,7.679779816E0
3.854379167E-1,-5.131928101E0,2.631827087E0,7.740852814E0
3.954669167E-1,-4.887486420E0,2.556234283E0,8.069419556E0
4.054949167E-1,-4.938230896E0,2.144889679E0,8.314160614E0
4.155239167E-1,-4.795727234E0,1.301244049E0,9.563163300E0
4.255529167E-1,-4.682113495E0,1.480421448E-1,1.055410263E1
4.355809167E-1,-5.314997406E0,1.632205811E0,8.419990540E0
4.456099167E-1,-6.425238647E0,3.069367218E0,7.081773376E0
4.556389167E-1,-7.040309601E0,2.459235992E0,8.029302979E0
4.656679167E-1,-7.378157043E0,1.821861420E0,8.979826355E0
4.756959167E-1,-7.223079529E0,1.949695587E0,8.591384125E0
4.857249167E-1,-6.820267181E0,2.148033142E0,8.743916931E0
4.957539167E-1,-6.575376434E0,1.600022736E0,8.820407867E0
5.057819167E-1,-7.232360229E0,1.283281403E0,8.061486053E0
5.158105417E-1,-8.190368042E0,1.759441223E0,7.561376038E0
5.258395417E-1,-8.344697113E0,2.469714203E0,7.275919647E0
5.358675417E-1,-8.190368042E0,2.870281219E0,6.367309113E0
5.458965417E-1,-8.139473877E0,3.108136597E0,6.307882690E0
5.559255417E-1,-8.425229645E0,3.025358734E0,6.196663971E0
5.659535417E-1,-9.007967834E0,3.146007843E0,5.763913879E0
5.759825417E-1,-9.389524384E0,3.410208435E0,5.331163788E0
5.860115417E-1,-9.105564880E0,3.260968781E0,5.516328735E0
5.960405417E-1,-8.678353271E0,2.799328766E0,5.849086761E0
6.060685416E-1,-8.331973572E0,2.731669464E0,6.038442993E0
6.160975416E-1,-8.379574585E0,2.897374878E0,6.076014862E0
6.261265416E-1,-8.503067780E0,3.142565002E0,5.851182404E0
6.361545416E-1,-8.324638824E0,3.049608307E0,5.902974701E0
6.461835416E-1,-8.062683563E0,2.634671173E0,5.770350494E0
6.562125416E-1,-7.937992859E0,2.629731445E0,5.535638580E0
6.662405417E-1,-7.892936554E0,3.066223755E0,5.583239594E0
6.762695417E-1,-8.038583679E0,3.270698547E0,5.818699951E0
6.862985417E-1,-8.171806641E0,2.941233673E0,6.139183502E0
6.963265417E-1,-8.265212402E0,2.294578400E0,6.389612732E0
7.063555417E-1,-8.366851044E0,1.735491028E0,6.847809906E0
7.163845417E-1,-8.146209869E0,1.619631958E0,7.135960693E0
7.264135417E-1,-7.660919037E0,1.880389709E0,7.547305298E0
7.364415417E-1,-7.402256927E0,2.420167236E0,7.854167175E0
7.464705417E-1,-7.575446777E0,3.037483521E0,5.513484650E0
7.564995417E-1,-7.623197479E0,3.764072571E0,4.015100555E0
7.665275417E-1,-7.377258911E0,3.690126343E0,3.604504395E0
7.765565417E-1,-7.249424744E0,2.746788025E0,3.911366272E0
7.865855417E-1,-7.286248169E0,2.302362213E0,4.313729553E0
7.966135417E-1,-7.323969727E0,2.523153076E0,4.499193878E0
8.066425417E-1,-7.139852600E0,3.097658386E0,4.284091187E0
8.166715417E-1,-6.310277710E0,4.146377563E0,4.165837097E0
8.266995416E-1,-5.297334137E0,5.031636658E0,3.795207825E0
8.367285416E-1,-4.703219604E0,5.407055969E0,3.696862335E0
8.467575416E-1,-4.844376068E0,5.009931793E0,3.467838593E0
8.567865416E-1,-5.279820557E0,4.298610992E0,3.497926025E0
8.668145416E-1,-5.566923523E0,4.172124023E0,3.791166229E0
8.768435416E-1,-5.508993988E0,4.614753571E0,4.421804810E0
8.868725416E-1,-5.342839508E0,4.807103577E0,5.271887054E0
8.969005417E-1,-5.239404602E0,5.021607513E0,6.362519073E0
9.069295417E-1,-5.299130402E0,5.291346588E0,7.045848083E0
9.169585417E-1,-5.747448120E0,5.372178497E0,6.876101074E0
9.269865417E-1,-6.194867706E0,5.485792236E0,6.613547058E0
9.370155417E-1,-6.677464142E0,5.839955750E0,5.896388397E0
9.470445417E-1,-7.001091156E0,6.266119537E0,5.512137451E0
9.570735417E-1,-6.958280182E0,5.645959167E0,6.106551361E0
9.671015417E-1,-7.110214233E0,5.238805847E0,6.511309662E0
9.771305417E-1,-7.663463745E0,5.614823914E0,6.071973267E0
9.871595417E-1,-8.024812317E0,6.092779999E0,4.957989807E0
9.971875417E-1,-7.814349976E0,6.745422821E0,4.432283020E0
1.007216542E0,-7.421267395E0,6.952442322E0,4.623884583E0
1.017245542E0,-7.222181396E0,6.382727051E0,4.803660736E0
1.027273542E0,-7.402406616E0,6.158643036E0,4.760700073E0
