"event","experiment time","system time","system time text"
"START",0.000000000E0,1717676766.060,"2024-06-06 15:26:06.060 UTC+03:00"
"PAUSE",8.230931721E1,1717676848.369,"2024-06-06 15:27:28.369 UTC+03:00"
