"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717692294398798E9,"2024-06-06 18:44:54.399 UTC+02:00"
"PAUSE",5.037768320833129E1,1.717692344776274E9,"2024-06-06 18:45:44.776 UTC+02:00"
