"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.715375009E-3,4.859770089E-2,-1.220800653E-1,6.141166668E-3
1.577537501E-2,2.563308738E-2,-1.058792621E-1,1.664520707E-3
2.583537501E-2,7.254254073E-2,-1.781215072E-1,8.074482903E-3
3.589537501E-2,1.311386079E-1,-2.710272372E-1,8.890964091E-3
4.595637499E-2,1.609915793E-1,-3.335340321E-1,1.194163691E-3
5.601637499E-2,1.541576982E-1,-3.414053023E-1,-3.774016164E-3
6.607637499E-2,1.173030138E-1,-3.097437620E-1,-3.680539085E-3
7.613637499E-2,7.197637856E-2,-2.298679799E-1,-3.094437532E-3
8.619637499E-2,2.381737530E-2,-1.213662699E-1,2.322698478E-3
9.625637499E-2,-1.983334869E-2,-2.956727520E-3,4.348814953E-3
1.063163750E-1,-6.772258133E-2,1.250600964E-1,2.891798969E-3
1.163763750E-1,-1.077541932E-1,2.377843410E-1,1.169807743E-3
1.264373750E-1,-1.462970525E-1,3.237152100E-1,6.284408737E-3
1.364973750E-1,-1.631635875E-1,3.522256613E-1,3.992174286E-3
1.465573750E-1,-1.479686648E-1,3.049577475E-1,7.356546354E-3
1.566173750E-1,-1.089634672E-1,2.075457126E-1,4.825744312E-3
1.666773750E-1,-5.480569229E-2,9.352273494E-2,1.204956882E-2
1.767373750E-1,6.130297203E-3,-2.392077073E-2,1.258092001E-2
1.867973750E-1,5.756711960E-2,-1.179950759E-1,1.212045923E-2
1.968573750E-1,8.935260773E-2,-1.890791506E-1,1.194182970E-2
2.069183750E-1,1.060562208E-1,-2.457299083E-1,1.098202728E-2
2.169783750E-1,1.094111279E-1,-3.016833365E-1,1.406959444E-2
2.270383750E-1,1.124167740E-1,-3.284590244E-1,1.428744197E-2
2.370983750E-1,1.155345142E-1,-3.389819562E-1,2.344422974E-2
2.471583750E-1,1.396688819E-1,-3.364817798E-1,3.256262839E-2
2.572183750E-1,1.955039650E-1,-3.707497418E-1,6.272198260E-2
2.672783750E-1,2.923024297E-1,-5.196702480E-1,5.180754513E-2
2.773383750E-1,4.971478283E-1,-8.543857932E-1,-3.981830180E-2
2.873993750E-1,7.741078138E-1,-1.429678440E0,-8.611203730E-2
2.974593750E-1,1.098073959E0,-2.120015860E0,-1.219932884E-1
3.075193750E-1,1.411167979E0,-2.829537868E0,-2.016745359E-1
3.175793750E-1,1.699805975E0,-3.381142139E0,-2.871839106E-1
3.276393750E-1,9.493072629E-1,-3.688530684E0,9.055485576E-2
3.376993750E-1,4.700706303E-1,-3.208735466E0,2.913801372E-1
3.477593750E-1,1.463554054E-1,-2.972311735E0,3.764191270E-1
3.578193750E-1,7.793564349E-3,-2.722717285E0,3.940266073E-1
3.678803750E-1,-8.039381355E-2,-2.108178377E0,2.491402626E-1
3.779403750E-1,-1.228325814E-1,-1.165117621E0,3.864325583E-2
3.880003750E-1,-1.672027111E-1,-3.377111256E-1,-2.303466648E-1
3.980603750E-1,-2.696794569E-1,3.423760831E-2,-6.276496649E-1
4.081203750E-1,-3.087956905E-1,6.652949750E-2,-1.075721145E0
4.181803750E-1,-3.375583887E-1,-1.069322005E-1,-1.375498891E0
4.282403750E-1,-4.607831240E-1,-6.100164056E-1,-1.579480171E0
4.383003750E-1,-7.072431445E-1,-1.150875688E0,-1.720645785E0
4.483613750E-1,-9.293379784E-1,-1.692632437E0,-1.887047768E0
4.584213750E-1,-1.170962334E0,-1.753314495E0,-2.093570471E0
4.684813750E-1,-1.313131452E0,-1.393106222E0,-2.380450249E0
4.785413750E-1,-1.543248296E0,-9.459995031E-1,-2.737922430E0
4.886013750E-1,-1.787689805E0,-4.666065276E-1,-3.033049345E0
4.986613750E-1,-1.848593235E0,-1.192676425E-1,-3.329211473E0
5.087213750E-1,-1.962226629E0,2.954805493E-1,-3.602219582E0
