"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717702653605129E9,"2024-06-06 22:37:33.605 UTC+03:00"
"PAUSE",1.666038205416407E2,1.717702820205393E9,"2024-06-06 22:40:20.205 UTC+03:00"
