"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717754743084644E9,"2024-06-07 12:05:43.085 UTC+02:00"
"PAUSE",6.143750154168811E1,1.717754804522756E9,"2024-06-07 12:06:44.523 UTC+02:00"
