"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717684702253893E9,"2024-06-06 17:38:22.254 UTC+03:00"
"PAUSE",2.962400583332055E0,1.717684705216272E9,"2024-06-06 17:38:25.216 UTC+03:00"
