"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717747356000899E9,"2024-06-07 10:02:36.001 UTC+02:00"
"PAUSE",2.974036949999936E1,1.717747385740911E9,"2024-06-07 10:03:05.741 UTC+02:00"
