"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.046062620E-1,1.196411327E-1,1.536192179E0,1.347637749E1
2.069391790E-1,1.435693651E-1,1.517049551E0,1.346201992E1
2.092720960E-1,2.057827413E-1,1.450050473E0,1.340459251E1
2.116049600E-1,2.775674164E-1,1.320838094E0,1.332323647E1
2.139378770E-1,3.589234054E-1,1.143769264E0,1.320838070E1
2.162707930E-1,4.546363056E-1,1.000199914E0,1.307438278E1
2.186036580E-1,5.503492355E-1,8.614161611E-1,1.292602825E1
2.209365750E-1,6.412764788E-1,7.226324677E-1,1.273460197E1
2.232694910E-1,7.417750359E-1,5.982056856E-1,1.257667542E1
2.256024080E-1,8.327022791E-1,4.546363056E-1,1.243310642E1
2.279352730E-1,9.140582681E-1,3.062812984E-1,1.227039433E1
2.302681890E-1,9.858429432E-1,1.914258152E-1,1.206939697E1
2.326011060E-1,1.014556766E0,5.264209956E-2,1.182054424E1
2.349339710E-1,1.014556766E0,-1.004985496E-1,1.154297638E1
2.372668870E-1,9.858429432E-1,-2.392822653E-1,1.124148083E1
2.395998040E-1,9.619147182E-1,-3.637090325E-1,1.091605663E1
2.419326680E-1,9.427721500E-1,-4.450650215E-1,1.056191921E1
2.442655850E-1,8.949156404E-1,-5.312066078E-1,1.025563812E1
2.465985020E-1,8.662018180E-1,-5.886343718E-1,9.963713646E0
2.489313660E-1,8.087740541E-1,-6.125625968E-1,9.690931320E0
2.512642830E-1,7.274180651E-1,-6.604190469E-1,9.389435768E0
2.535972000E-1,6.221339107E-1,-6.843472719E-1,9.140582085E0
2.559301160E-1,5.216353536E-1,-7.130611539E-1,8.920442581E0
2.582629810E-1,4.259224236E-1,-7.178468108E-1,8.748159409E0
2.605958980E-1,3.493520916E-1,-7.034898400E-1,8.638090134E0
2.629288140E-1,2.919243574E-1,-6.556333899E-1,8.595019341E0
2.652616790E-1,2.967100143E-1,-6.173482537E-1,8.595019341E0
2.675945960E-1,3.589234054E-1,-5.982056856E-1,8.623732567E0
2.699275120E-1,4.450650215E-1,-5.838487148E-1,8.685946465E0
2.722603770E-1,5.407779217E-1,-5.455635786E-1,8.738588333E0
2.745932930E-1,6.460621357E-1,-5.072783828E-1,8.791230202E0
2.769262100E-1,7.609176040E-1,-4.546363056E-1,8.824729919E0
2.792590750E-1,8.470591903E-1,-4.067798555E-1,8.824729919E0
2.815919910E-1,9.044869542E-1,-3.637090325E-1,8.781659126E0
2.839249080E-1,9.906286001E-1,-3.110669553E-1,8.709874153E0
2.862577730E-1,1.028913736E0,-2.488535494E-1,8.595019341E0
2.885906890E-1,1.091127157E0,-2.344966233E-1,8.461020470E0
2.909236060E-1,1.172483087E0,-2.153540403E-1,8.298309326E0
2.932565230E-1,1.282552958E0,-2.919243574E-1,8.059026718E0
2.955893870E-1,1.469193101E0,-3.732803464E-1,7.810173035E0
2.979223040E-1,1.660618901E0,-5.455635786E-1,7.575676441E0
3.002552210E-1,1.818545222E0,-6.891329288E-1,7.326822758E0
3.025880850E-1,1.928615093E0,-7.896314859E-1,7.164111137E0
3.049210020E-1,1.928615093E0,-7.465606928E-1,7.087540627E0
3.072539180E-1,1.823330879E0,-5.934200287E-1,7.034898758E0
3.095867830E-1,1.746760488E0,-4.881358147E-1,6.972685337E0
3.119197000E-1,1.708475351E0,-3.780659735E-1,6.929614544E0
3.142526160E-1,1.703689694E0,-2.201396823E-1,6.896114826E0
3.165855330E-1,1.722832322E0,-1.435693540E-2,6.896114826E0
3.189183980E-1,1.727617979E0,2.488535494E-1,6.948757172E0
3.212513140E-1,1.741974831E0,5.455635786E-1,7.030112743E0
3.235842310E-1,1.746760488E0,8.231309652E-1,7.121040344E0
3.259170960E-1,1.741974831E0,1.086341500E0,7.192824841E0
3.282500120E-1,1.751546144E0,1.330409408E0,7.259823799E0
3.305829290E-1,1.708475351E0,1.521835208E0,7.312466145E0
3.329157930E-1,1.651047587E0,1.679761529E0,7.365108013E0
3.352487100E-1,1.588834286E0,1.785045743E0,7.436892986E0
3.375816270E-1,1.531406522E0,1.861616015E0,7.518248558E0
3.399144910E-1,1.464407444E0,1.923829436E0,7.599604607E0
3.422474080E-1,1.402194023E0,1.938186288E0,7.695317745E0
3.445803250E-1,1.354337573E0,1.952543259E0,7.795815945E0
