"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717615332680174E9,"2024-06-05 21:22:12.680 UTC+02:00"
"PAUSE",2.640818845833337E1,1.717615359088288E9,"2024-06-05 21:22:39.088 UTC+02:00"
