"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.265520833E-2,-1.108594666E0,1.422641602E0,8.824898529E0
2.272720834E-2,-1.235979767E0,1.067579956E0,1.054137909E1
3.279920833E-2,-1.517394562E0,8.137078857E-1,1.122919876E1
4.287120833E-2,-1.552421722E0,7.994874573E-1,1.062176193E1
5.294220833E-2,-1.432371368E0,9.888436890E-1,9.535620575E0
6.301420833E-2,-1.342109070E0,1.230590973E0,8.888815613E0
7.308620834E-2,-1.278641052E0,1.382075958E0,8.958271179E0
8.315820833E-2,-1.200353851E0,1.420545959E0,9.551188202E0
9.323020833E-2,-1.094972992E0,1.378782806E0,1.008722351E1
1.033012083E-1,-1.026265869E0,1.377734985E0,1.022239243E1
1.133732083E-1,-1.048569489E0,1.401834869E0,1.007599686E1
1.234452083E-1,-1.131347351E0,1.386716309E0,9.889634399E0
1.335172083E-1,-1.207838287E0,1.379980316E0,9.770931244E0
1.435882083E-1,-1.217268677E0,1.362616425E0,9.665999451E0
1.536602083E-1,-1.222208405E0,1.366358643E0,9.662406921E0
1.637322083E-1,-1.193168793E0,1.362466736E0,9.749675446E0
1.738042083E-1,-1.181044006E0,1.370849304E0,9.823172607E0
1.838762083E-1,-1.189875641E0,1.410816193E0,9.797725525E0
1.939472083E-1,-1.312321014E0,1.457369385E0,9.645941162E0
2.040192083E-1,-1.484013977E0,1.437610474E0,9.586814117E0
2.140912083E-1,-1.703607330E0,1.332379303E0,9.656419373E0
2.241632083E-1,-1.862127686E0,1.261426849E0,9.668095093E0
2.342352083E-1,-1.867666168E0,1.237925720E0,9.624236298E0
2.443062083E-1,-1.693727875E0,1.251547394E0,9.639654236E0
2.543782083E-1,-1.437610474E0,1.286275177E0,9.736203461E0
2.644502083E-1,-1.279389496E0,1.287772064E0,9.778415680E0
2.745222083E-1,-1.231189728E0,1.275048523E0,9.689799957E0
2.845942083E-1,-1.296603699E0,1.272503815E0,9.592502289E0
2.946652083E-1,-1.285526733E0,1.270408173E0,9.596693573E0
3.047372083E-1,-1.257385254E0,1.260379028E0,9.560917969E0
3.148092083E-1,-1.196162567E0,1.233435059E0,9.490414581E0
3.248812083E-1,-1.095871124E0,1.235830078E0,9.474248199E0
3.349522083E-1,-1.048120422E0,1.220112762E0,9.578730927E0
3.450242083E-1,-1.099014587E0,1.211580505E0,9.670190735E0
3.550962083E-1,-1.220711517E0,1.207538910E0,9.695787506E0
3.651682083E-1,-1.375040588E0,1.208287354E0,9.575886841E0
3.752402083E-1,-1.402283936E0,1.238524475E0,9.406738586E0
3.853112083E-1,-1.313518524E0,1.260678406E0,9.383387146E0
3.953832083E-1,-1.144519958E0,1.255139923E0,9.730066223E0
4.054552083E-1,-1.017583923E0,1.209335175E0,1.026625122E1
4.155272083E-1,-9.627978516E-1,1.153950348E0,1.046803162E1
4.255982083E-1,-1.031205597E0,1.134640503E0,1.013931519E1
4.356702083E-1,-1.138532410E0,1.169667664E0,9.662257233E0
4.457422083E-1,-1.290316772E0,1.235680389E0,9.344318390E0
4.558142083E-1,-1.426683197E0,1.300645294E0,9.378597107E0
4.658862083E-1,-1.506018219E0,1.330133972E0,9.765093384E0
4.759572083E-1,-1.534908142E0,1.305734711E0,1.004590942E1
4.860292083E-1,-1.542841644E0,1.307231598E0,9.954150238E0
4.961012083E-1,-1.542392578E0,1.333726501E0,9.684860229E0
5.061732083E-1,-1.558259583E0,1.377734985E0,9.417516174E0
5.162452083E-1,-1.535656586E0,1.427581329E0,9.344019012E0
5.263162083E-1,-1.480870514E0,1.443298645E0,9.695039063E0
5.363882083E-1,-1.444645844E0,1.423090668E0,1.001133133E1
5.464602083E-1,-1.438508606E0,1.431772614E0,9.801767120E0
5.565322083E-1,-1.436412964E0,1.518292694E0,9.262887726E0
5.666032083E-1,-1.385818176E0,1.586999817E0,8.929381256E0
5.766752083E-1,-1.343456268E0,1.596579895E0,8.794661407E0
5.867472083E-1,-1.381626892E0,1.559157715E0,8.836723938E0
5.968192083E-1,-1.478774872E0,1.471440125E0,8.989705811E0
6.068912083E-1,-1.506467285E0,1.389261017E0,9.108858032E0
6.169626250E-1,-1.417552185E0,1.355581055E0,9.036558380E0
6.270346250E-1,-1.289568329E0,1.356030121E0,8.729696503E0
6.371066250E-1,-1.132544861E0,1.390608215E0,8.270451508E0
6.471786250E-1,-9.831555176E-1,1.447040863E0,7.750283203E0
6.572506250E-1,-8.928932190E-1,1.517544250E0,7.310348053E0
6.673216250E-1,-7.740403748E-1,1.629511414E0,7.094646606E0
6.773936250E-1,-8.014334106E-1,1.721120911E0,7.033124542E0
6.874656250E-1,-9.503736877E-1,1.771116943E0,6.888225861E0
6.975376250E-1,-1.129251709E0,1.774859161E0,6.739435272E0
7.076086250E-1,-1.246607666E0,1.720222778E0,6.725065155E0
7.176806250E-1,-1.221160583E0,1.674418030E0,6.731202393E0
7.277526250E-1,-1.069974976E0,1.658251648E0,6.644532623E0
7.378246250E-1,-8.626560974E-1,1.682950287E0,6.553222504E0
7.478966250E-1,-6.965016174E-1,1.699565735E0,6.405330048E0
7.579676250E-1,-6.177653503E-1,1.639690247E0,6.219416656E0
7.680396250E-1,-6.764433289E-1,1.480122070E0,6.384673004E0
7.781116250E-1,-8.675958252E-1,1.229842529E0,6.834487610E0
7.881836250E-1,-1.211879883E0,1.007255402E0,7.007976837E0
7.982546250E-1,-1.532064056E0,8.548722839E-1,7.014114075E0
8.083266250E-1,-1.672172699E0,7.791297913E-1,6.604565735E0
8.183986250E-1,-1.586850128E0,8.011340332E-1,5.790708160E0
8.284706250E-1,-1.351090393E0,7.984396362E-1,5.260810089E0
8.385426250E-1,-1.099912720E0,6.535409546E-1,5.766009521E0
8.486136250E-1,-1.004561005E0,3.576063538E-1,6.939569092E0
8.586856250E-1,-1.122366028E0,1.246907043E-1,7.521259460E0
8.687576250E-1,-1.424587555E0,1.366658020E-1,7.133565674E0
8.788296250E-1,-1.648072815E0,1.767823792E-1,6.751709747E0
8.889016250E-1,-1.613644409E0,7.229965210E-2,7.041656799E0
8.989726250E-1,-1.387464752E0,-2.246827698E-1,8.146509247E0
9.090446250E-1,-1.178798676E0,-5.858816528E-1,9.273365936E0
9.191166250E-1,-1.184337158E0,-8.852590942E-1,9.452992401E0
9.291886250E-1,-1.252894592E0,-1.135538635E0,9.373657379E0
9.392596250E-1,-1.182840271E0,-1.431173859E0,1.002570145E1
9.493316250E-1,-9.657916260E-1,-1.686243439E0,1.044018951E1
9.594036250E-1,-7.750881958E-1,-1.902543640E0,1.016461258E1
9.694756250E-1,-6.301895142E-1,-2.030527496E0,9.643695831E0
9.795476250E-1,-3.820056152E-1,-2.232008514E0,1.028481262E1
9.896186250E-1,-2.691403198E-1,-2.566413116E0,1.116543137E1
9.996906250E-1,-3.388952637E-1,-2.833906860E0,1.102502335E1
1.009762625E0,-4.146377563E-1,-2.980601807E0,1.146720383E1
1.019834625E0,-4.537065125E-1,-2.961142273E0,1.196417038E1
1.029905625E0,-4.996609497E-1,-2.844085693E0,1.184816162E1
1.039977625E0,-5.034031677E-1,-2.732717285E0,1.133727402E1
1.050049625E0,-4.793032837E-1,-2.725831604E0,1.067594925E1
1.060121625E0,-3.779640198E-1,-2.854264526E0,1.155237671E1
1.070193625E0,-3.823049927E-1,-2.995570679E0,1.244541962E1
1.080264625E0,-6.602769470E-1,-3.078797607E0,1.302157150E1
1.090336625E0,-1.157243500E0,-3.185525665E0,1.320104828E1
1.100408625E0,-1.514251099E0,-3.425776062E0,1.341031311E1
1.110480625E0,-1.525178375E0,-3.711382141E0,1.315793793E1
1.120552625E0,-1.027613068E0,-3.943549347E0,1.307635757E1
1.130623625E0,-3.103047180E-1,-4.146078186E0,1.377540390E1
1.140695625E0,2.267784119E-1,-4.381089478E0,1.478370712E1
1.150767625E0,3.306623840E-1,-4.772375793E0,1.590637253E1
1.160839625E0,-1.122665405E-1,-5.283263397E0,1.595053070E1
1.170910625E0,-9.090596008E-1,-5.850284271E0,1.596505051E1
1.180982625E0,-1.895508270E0,-6.410718842E0,1.644689850E1
1.191054625E0,-2.666554871E0,-6.605463867E0,1.594364502E1
1.201126625E0,-2.992876282E0,-6.395749969E0,1.515388733E1
1.211198625E0,-2.837798767E0,-5.988596649E0,1.474897934E1
1.221269625E0,-2.443368988E0,-5.476212158E0,1.444151871E1
1.231341625E0,-2.265838165E0,-4.912484436E0,1.434152664E1
1.241413625E0,-2.345622253E0,-4.420756989E0,1.461979797E1
1.251485625E0,-2.572700043E0,-4.013753357E0,1.494222748E1
1.261556625E0,-2.906356201E0,-3.607198792E0,1.425246185E1
1.271628625E0,-3.063828735E0,-3.300037537E0,1.365954483E1
1.281700625E0,-3.065175934E0,-3.193459167E0,1.336450836E1
1.291772625E0,-3.089275818E0,-3.201392670E0,1.296888107E1
1.301844625E0,-3.075354767E0,-3.288960571E0,1.261217285E1
1.311915625E0,-3.102897491E0,-3.336711273E0,1.196222443E1
1.321987625E0,-3.111130371E0,-3.295097809E0,1.133083740E1
1.332059625E0,-2.929857330E0,-3.180885315E0,1.074166260E1
1.342131625E0,-2.621348877E0,-3.120560760E0,1.076037369E1
1.352202625E0,-2.252216492E0,-3.169209595E0,1.110735214E1
1.362274625E0,-1.927541656E0,-3.214864655E0,1.061487625E1
1.372346625E0,-1.676214294E0,-3.324885864E0,1.047357010E1
1.382418625E0,-1.538051605E0,-3.437900848E0,1.060245209E1
1.392490625E0,-1.562600555E0,-3.416046295E0,9.843679962E0
1.402561625E0,-1.684596863E0,-3.391946411E0,9.359886017E0
1.412633625E0,-1.745819550E0,-3.388204193E0,9.458979950E0
1.422705625E0,-1.618135071E0,-3.233575745E0,9.476493530E0
1.432777625E0,-1.467847595E0,-2.997067566E0,9.380243683E0
1.442849625E0,-1.452279968E0,-2.744692383E0,9.371711426E0
1.452920625E0,-1.440155182E0,-2.468666382E0,9.381441193E0
1.462992625E0,-1.465003510E0,-2.202968903E0,9.355095978E0
1.473064625E0,-1.416504364E0,-1.960772552E0,9.548044739E0
1.483136625E0,-1.303639069E0,-1.811981964E0,9.983788605E0
1.493207625E0,-1.308429108E0,-1.662891998E0,9.808203735E0
1.503279625E0,-1.232087860E0,-1.444496155E0,9.201215973E0
1.513351625E0,-9.301657104E-1,-1.177451477E0,8.847800903E0
1.523423625E0,-6.119274902E-1,-8.442443848E-1,8.614136810E0
1.533495625E0,-4.758604431E-1,-5.010081482E-1,8.461454315E0
1.543566625E0,-4.996609497E-1,-1.257385254E-1,8.155340881E0
1.553638625E0,-6.228547668E-1,2.213896179E-1,7.841743011E0
1.563710625E0,-8.141569519E-1,5.309458923E-1,7.547005920E0
1.573782625E0,-9.915380859E-1,8.331674194E-1,7.387288055E0
1.583853625E0,-1.105451202E0,1.059945831E0,7.592211914E0
1.593925625E0,-1.028062134E0,1.208736420E0,8.071215820E0
1.603997625E0,-7.695497131E-1,1.356628876E0,8.325986023E0
1.614069500E0,-3.640429688E-1,1.560654602E0,7.629035339E0
1.624141500E0,-4.475692749E-2,1.743125153E0,6.251599731E0
1.634212500E0,1.890568542E-1,1.844763794E0,4.947212219E0
1.644284500E0,3.186872864E-1,1.872605896E0,4.152664490E0
1.654356500E0,2.893482971E-1,1.791624298E0,3.734733582E0
1.664428500E0,8.831634521E-2,1.662742310E0,3.442092133E0
1.674499500E0,-1.450483704E-1,1.531465302E0,3.166664886E0
1.684571500E0,-4.195774841E-1,1.418899384E0,2.910248108E0
1.694643500E0,-7.060816956E-1,1.235680389E0,2.716999969E0
1.704715500E0,-9.313632202E-1,1.048120422E0,2.528541870E0
1.714787500E0,-1.071771240E0,8.692424011E-1,2.329156494E0
1.724858500E0,-1.138682098E0,8.333171082E-1,2.233206024E0
1.734930500E0,-1.163231049E0,8.449928284E-1,2.175126801E0
1.745002500E0,-1.037492523E0,9.851014709E-1,2.254761200E0
1.755074500E0,-8.301736450E-1,1.105151825E0,2.658172302E0
1.765145500E0,-6.024971008E-1,1.101708984E0,3.351231079E0
1.775217500E0,-4.302053833E-1,1.025517426E0,4.366419983E0
1.785289500E0,-2.387535095E-1,9.193881226E-1,5.829776917E0
1.795361500E0,1.511856079E-2,7.438032532E-1,7.967182159E0
1.805433500E0,3.293151855E-1,5.075944519E-1,1.024739044E1
1.815504500E0,4.008663940E-1,4.622387695E-1,1.024394760E1
1.825576500E0,1.550775146E-1,7.813751221E-1,7.130122833E0
1.835648500E0,-1.692979431E-1,1.259780273E0,3.457809448E0
1.845720500E0,-4.358935547E-1,1.321152649E0,2.043101349E0
1.855792500E0,-5.287005615E-1,9.861492920E-1,2.897374878E0
1.865863500E0,-1.839674377E-1,3.921844482E-1,6.126459961E0
1.875935500E0,3.683839417E-1,-1.196012878E-1,9.843230896E0
1.886007500E0,4.923262024E-1,-2.872526550E-1,1.080243622E1
1.896079500E0,-7.828720093E-2,-1.724414062E-1,9.185798035E0
1.906150500E0,-8.096662903E-1,-1.698966980E-1,9.149423676E0
1.916222500E0,-1.291514282E0,-4.032614136E-1,1.015263748E1
1.926294500E0,-1.593586121E0,-7.520361328E-1,1.083087708E1
1.936366500E0,-1.845811615E0,-1.122515717E0,1.145687531E1
1.946438500E0,-2.130818939E0,-1.421294403E0,1.105271576E1
1.956509500E0,-2.182012482E0,-1.718426514E0,1.125868744E1
1.966581500E0,-1.787882080E0,-2.045346680E0,1.159174484E1
1.976653500E0,-1.347647552E0,-2.297272797E0,1.044438080E1
1.986725500E0,-8.783734131E-1,-2.644400940E0,1.034378998E1
