"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.376723333E-1,3.133235276E-1,3.563993052E-2,1.536799520E-1
7.476043333E-1,3.227226138E-1,4.104428366E-2,1.671701968E-1
7.575373333E-1,3.276645541E-1,4.103098437E-2,1.580560356E-1
7.674693333E-1,3.278344572E-1,2.878710255E-2,1.463935226E-1
7.774013333E-1,3.204661310E-1,3.081867239E-3,1.385776401E-1
7.873333333E-1,3.156894743E-1,-1.779172197E-2,1.283835918E-1
7.972663333E-1,3.019393384E-1,-2.338389680E-2,1.136636361E-1
8.071983333E-1,2.885297835E-1,-2.025681362E-2,1.005683392E-1
8.171303333E-1,2.744141221E-1,-1.854046620E-2,8.517012000E-2
8.270633333E-1,2.620139122E-1,-1.807814091E-2,6.006449088E-2
8.369953333E-1,2.562935054E-1,-3.247777745E-2,2.513773367E-2
8.469273333E-1,2.730501294E-1,-4.612248391E-2,4.116338678E-3
8.568593333E-1,2.645802200E-1,-7.055228949E-2,-1.579109207E-2
8.667923333E-1,2.532194257E-1,-7.054456323E-2,-4.554019868E-2
8.767243333E-1,2.597298622E-1,-5.779801309E-2,-5.885602906E-2
8.866563333E-1,2.580936253E-1,-6.363832206E-2,-6.893929094E-2
8.965883333E-1,2.585442960E-1,-5.539644137E-2,-7.807620615E-2
9.065213333E-1,2.595592141E-1,-5.659033731E-2,-8.319240808E-2
9.164533333E-1,2.581183612E-1,-5.362755060E-2,-7.667062432E-2
9.263853333E-1,2.599777877E-1,-5.790724978E-2,-6.685900688E-2
9.363183333E-1,2.725676298E-1,-5.642055720E-2,-5.684945732E-2
9.462503333E-1,2.931895256E-1,-7.200910151E-2,-5.801725388E-2
9.561823333E-1,3.467209637E-1,-1.007899493E-1,-6.782741845E-2
9.661153333E-1,3.760833740E-1,-1.113046408E-1,-9.854219109E-2
9.760473333E-1,3.709205985E-1,-9.673763067E-2,-1.335367560E-1
9.859793333E-1,3.686502576E-1,-4.919115826E-2,-1.433057636E-1
9.959113333E-1,3.775874674E-1,-9.746046737E-3,-1.268969029E-1
1.005844333E0,3.846049011E-1,3.358303336E-3,-8.993461728E-2
1.015776333E0,3.874279261E-1,1.021343563E-2,-2.846992761E-2
1.025708333E0,3.820869625E-1,-3.920493182E-3,2.792623825E-2
1.035641333E0,3.694102466E-1,-1.656409912E-2,8.876185864E-2
1.045573333E0,3.565889895E-1,-1.024042349E-2,1.503565162E-1
1.055505333E0,3.542309999E-1,-3.145325929E-2,1.836062074E-1
1.065437333E0,3.594595790E-1,-4.892838746E-2,1.924740076E-1
1.075370333E0,3.629241288E-1,-3.791383654E-2,1.771169156E-1
1.085302333E0,3.736148775E-1,-4.080975801E-2,1.705967039E-1
1.095234333E0,3.863101900E-1,-2.341089025E-2,1.589639634E-1
1.105167333E0,4.022492170E-1,9.301250800E-3,1.537526846E-1
1.115099333E0,4.233390391E-1,1.548312604E-2,1.486606896E-1
1.125031333E0,4.463317096E-1,2.723885141E-2,1.450366378E-1
1.134963333E0,4.657636881E-1,3.165066242E-2,1.283897161E-1
1.144896333E0,4.862247407E-1,4.399414733E-2,1.190380380E-1
1.154828333E0,5.078723431E-1,6.718578935E-2,1.189250648E-1
1.164760333E0,5.256060362E-1,5.891453847E-2,1.314645559E-1
1.174692333E0,5.267503262E-1,2.860001102E-2,1.418871582E-1
1.184625333E0,5.243439078E-1,2.962559462E-2,1.635732800E-1
1.194557333E0,5.336245894E-1,3.392365202E-2,1.733673513E-1
1.204489333E0,5.411056280E-1,4.784266278E-2,1.683606207E-1
1.214422333E0,5.353602767E-1,3.884061053E-2,1.637475491E-1
1.224354333E0,5.331008434E-1,-1.813159324E-2,1.490018964E-1
1.234286333E0,5.289635062E-1,-4.563589022E-2,1.300092340E-1
1.244218333E0,5.291802883E-1,-2.613409236E-2,1.123601943E-1
1.254151333E0,5.333954096E-1,-2.400059486E-3,8.298863471E-2
1.264083333E0,5.349038243E-1,3.624400496E-2,5.871897563E-2
1.274015333E0,5.273426771E-1,5.670312047E-2,4.786275327E-2
1.283947875E0,5.326802135E-1,5.317017063E-2,3.939576447E-2
1.293879875E0,5.325963497E-1,2.829587087E-2,3.833741695E-2
1.303811875E0,5.198334455E-1,1.743550040E-2,5.595076457E-2
1.313743875E0,5.088363886E-1,-2.335801348E-2,6.434686482E-2
1.323676875E0,5.107259154E-1,-4.761754721E-2,6.634157151E-2
1.333608875E0,5.181425810E-1,-4.721056297E-2,6.402346492E-2
1.343540875E0,5.191414952E-1,-2.914074808E-2,4.430568591E-2
1.353473875E0,5.169517398E-1,-6.019631401E-3,2.851778455E-2
1.363405875E0,5.091923475E-1,2.273718594E-3,2.421837673E-2
1.373337875E0,5.036624670E-1,-2.710456401E-2,3.173382208E-2
1.383269875E0,4.882611334E-1,-5.406507477E-2,3.154367208E-2
1.393202875E0,4.530026019E-1,-4.836720973E-2,1.552949101E-2
1.403134875E0,3.826267123E-1,-4.278682172E-2,-4.052998032E-3
1.413066875E0,2.981978357E-1,-4.724974558E-2,-1.821116172E-2
1.422999875E0,2.279167473E-1,-6.596564502E-2,-9.555887431E-3
1.432931875E0,1.624584347E-1,-8.474845439E-2,-2.742336132E-3
1.442863875E0,1.144879758E-1,-9.399494529E-2,8.963588625E-3
1.452795875E0,8.386339247E-2,-6.102887541E-2,1.804605871E-2
1.462728875E0,8.089742810E-2,-2.731884643E-2,6.130010821E-3
1.472660875E0,9.578461945E-2,6.439925637E-4,-6.012788042E-3
1.482592875E0,1.081496775E-1,1.013975963E-2,-7.114999462E-4
1.492525875E0,1.399197578E-1,-4.916745238E-4,9.458625689E-3
1.502457875E0,1.724209785E-1,-5.182832945E-3,1.475086063E-2
1.512389875E0,1.912508011E-1,-1.412906125E-2,4.065618385E-3
1.522321875E0,2.167652100E-1,1.295209117E-2,-5.169158801E-3
1.532254875E0,2.367505878E-1,6.824284792E-2,-6.514441688E-3
1.542186875E0,2.486458719E-1,9.748276323E-2,-4.280049354E-3
1.552118875E0,2.590097189E-1,7.774697989E-2,-5.638704170E-4
1.562051875E0,2.367606163E-1,2.514422312E-2,9.243220091E-3
1.571983875E0,1.831346601E-1,-1.426404901E-2,3.299867362E-2
1.581915875E0,1.084060967E-1,-6.964288652E-2,6.369986385E-2
1.591847875E0,2.216474898E-2,-1.019988582E-1,8.612696081E-2
1.601780875E0,-5.669011921E-2,-1.113002151E-1,9.211268276E-2
1.611712875E0,-1.255704015E-1,-1.204773709E-1,8.553230762E-2
1.621644875E0,-1.646767855E-1,-1.222835258E-1,6.881458312E-2
1.631577875E0,-2.016338259E-1,-1.374613941E-1,4.118771851E-2
1.641509875E0,-2.326276898E-1,-1.730255187E-1,2.750119939E-2
1.651441875E0,-2.577545345E-1,-2.096249312E-1,7.080342621E-3
1.661373875E0,-3.013163805E-1,-1.988774687E-1,-1.348352246E-2
1.671306875E0,-3.316679001E-1,-1.507396400E-1,-3.490007296E-2
1.681238875E0,-3.613110185E-1,-1.086678207E-1,-4.797912389E-2
1.691170875E0,-3.985038102E-1,-9.706611186E-2,-4.776778817E-2
1.701103875E0,-4.401540458E-1,-1.118889973E-1,-3.824964911E-2
1.711035875E0,-4.763154089E-1,-1.522632092E-1,-1.934123039E-2
1.720967875E0,-4.988633394E-1,-1.834275126E-1,1.624552533E-2
1.730899875E0,-5.089202523E-1,-1.897451133E-1,4.826320335E-2
1.740832875E0,-5.207337737E-1,-1.910215616E-1,4.987095296E-2
1.750764875E0,-5.308951735E-1,-1.752595752E-1,3.859500960E-2
1.760696875E0,-5.724092722E-1,-1.535947472E-1,3.405671939E-2
1.770629875E0,-6.353067160E-1,-1.527311653E-1,7.128756493E-2
1.780561875E0,-7.178460360E-1,-1.661252677E-1,1.121918559E-1
1.790493875E0,-7.839321494E-1,-2.118882686E-1,1.485976279E-1
1.800425875E0,-8.247008920E-1,-1.906319857E-1,1.711466163E-1
1.810358875E0,-8.257842660E-1,-1.630355418E-1,1.730077267E-1
1.820290875E0,-8.104029298E-1,-1.533408314E-1,1.364891380E-1
1.830222875E0,-8.078132272E-1,-1.487995684E-1,7.555644959E-2
1.840155875E0,-8.042696714E-1,-1.277241111E-1,4.032523185E-2
1.850087875E0,-7.461212873E-1,-9.662745893E-2,3.066118062E-2
1.860019875E0,-6.801484227E-1,-8.452685177E-2,4.123313352E-2
1.869951875E0,-6.423817873E-1,-9.462495148E-2,5.482224375E-2
1.879884875E0,-6.272183061E-1,-1.145704240E-1,6.079731137E-2
1.889816875E0,-5.840115547E-1,-1.337497085E-1,5.852027982E-2
1.899748875E0,-5.335236192E-1,-1.308055818E-1,3.964405879E-2
1.909680875E0,-5.032501221E-1,-1.430031210E-1,9.390073828E-4
