"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717747501159136E9,"2024-06-07 10:05:01.159 UTC+02:00"
"PAUSE",5.084339545833427E1,1.717747552001922E9,"2024-06-07 10:05:52.002 UTC+02:00"
