"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717672187459311E9,"2024-06-06 13:09:47.459 UTC+02:00"
"PAUSE",5.208790691668400E1,1.717672239546634E9,"2024-06-06 13:10:39.547 UTC+02:00"
