"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.410079165E-2,3.982839407E-4,-1.584242098E-3,-8.201084286E-2
2.408779165E-2,3.561586607E-3,-2.897713101E-3,-5.221106112E-4
3.407379164E-2,1.413757214E-3,-9.022854269E-3,2.154311398E-3
4.405979166E-2,1.574345632E-3,-1.277924329E-2,-5.120454007E-4
5.404679166E-2,-2.188904677E-3,-2.200785093E-2,-1.639930531E-3
6.403279165E-2,2.246856224E-3,-8.403626271E-3,-2.158181742E-3
7.401879167E-2,-4.122932907E-3,-7.073529065E-3,-7.059081690E-5
8.400479166E-2,4.486496327E-4,-7.858895697E-3,-3.571469570E-4
9.399179165E-2,4.306614865E-4,-4.019494168E-3,-1.372161321E-3
1.039777916E-1,4.389174283E-4,-7.701314054E-3,1.304848120E-3
1.139637917E-1,-3.900485812E-3,1.983254217E-3,-1.000658376E-3
1.239507917E-1,1.623176504E-3,-1.117464155E-3,1.088325167E-3
1.339367917E-1,-4.523198586E-4,-4.214234650E-5,-1.623648684E-3
1.439227916E-1,1.358629670E-3,-6.811365020E-3,4.482164513E-5
1.539097916E-1,-2.229169011E-3,6.653206656E-4,-1.940887654E-3
1.638957917E-1,-1.283746911E-3,-3.211126849E-2,-1.289047394E-2
1.738817916E-1,-1.804731553E-3,-7.076130249E-3,-4.185146466E-2
1.838687916E-1,-1.009245287E-3,-1.078005508E-2,-1.294580102E-1
1.938547917E-1,6.768424064E-4,-1.324049663E-2,-2.553415895E-1
2.038407917E-1,2.179397736E-3,2.097845823E-2,-4.262206554E-1
2.138277917E-1,-6.594378036E-3,-3.381887823E-2,-4.848123491E-1
2.238137916E-1,-2.105620224E-3,2.525589429E-2,-5.778419375E-1
2.337997917E-1,-5.050898064E-3,1.371757872E-2,-6.433455944E-1
2.437857917E-1,-9.204098023E-3,6.508668885E-3,-5.969389677E-1
2.537727916E-1,-2.852246724E-2,2.746381797E-3,-5.174754858E-1
2.637587916E-1,-9.605357796E-2,1.046448853E-2,-4.575536251E-1
2.737447917E-1,-1.712707877E-1,-6.920053274E-4,-4.169706404E-1
2.837317917E-1,-1.720441729E-1,-1.718149893E-2,-3.612935543E-1
2.937177916E-1,-1.342347264E-1,3.630009294E-2,-2.793084681E-1
3.037037917E-1,-1.485721171E-1,1.058144569E-1,-1.082597896E-1
3.136907917E-1,-1.593672484E-1,2.391440272E-1,1.804676205E-1
3.236767917E-1,-1.410004795E-1,3.249976635E-1,7.193087339E-1
3.336627916E-1,-2.650886178E-1,1.746368110E-1,1.418770432E0
3.436497916E-1,-5.146854520E-1,3.092011251E-2,2.023800135E0
3.536357917E-1,-8.955254555E-1,5.480438471E-2,2.199637890E0
3.636217917E-1,-1.289371371E0,1.731581837E-1,1.896086931E0
3.736087916E-1,-1.642383099E0,5.616642833E-1,1.275418282E0
