"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717764259385430E9,"2024-06-07 14:44:19.385 UTC+02:00"
"PAUSE",5.338095545833130E1,1.717764312766203E9,"2024-06-07 14:45:12.766 UTC+02:00"
