"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.648073900E-2,-1.056002229E-1,-1.191992044E0,-3.902550340E-1
2.884954100E-2,-2.418191582E-1,-1.133350730E0,-4.354577363E-1
3.121834300E-2,-4.061370790E-1,-1.077152729E0,-4.592807889E-1
3.358714500E-2,-5.997756720E-1,-1.009959579E0,-4.556156993E-1
3.595599900E-2,-8.154810667E-1,-9.452098012E-1,-4.269058704E-1
3.832480200E-2,-1.049435616E0,-9.036721587E-1,-3.725404739E-1
4.069360400E-2,-1.305991411E0,-8.694646955E-1,-2.894652486E-1
4.306245800E-2,-1.580261827E0,-8.364789486E-1,-1.953947693E-1
4.543126000E-2,-1.849645495E0,-8.260945678E-1,-9.827005118E-2
4.780006200E-2,-2.099482059E0,-8.383114934E-1,-5.344913807E-4
5.016891600E-2,-2.327938795E0,-8.474742174E-1,9.109259397E-2
5.253771800E-2,-2.531961918E0,-8.297596574E-1,1.772220582E-1
5.490652000E-2,-2.705442429E0,-7.741725445E-1,2.627406716E-1
5.727537400E-2,-2.847159147E0,-7.045359612E-1,3.543677628E-1
5.964417700E-2,-2.954057455E0,-6.758261323E-1,4.594334960E-1
6.201297900E-2,-3.024304867E0,-7.582905293E-1,5.816029310E-1
6.438183300E-2,-3.060955524E0,-9.965209365E-1,7.196544409E-1
6.675063500E-2,-3.087832928E0,-1.420448899E0,8.845831752E-1
6.911943700E-2,-3.138533115E0,-1.995943427E0,1.074556708E0
7.148829100E-2,-3.211834908E0,-2.612899065E0,1.277968764E0
7.385709300E-2,-3.296131849E0,-3.187706470E0,1.478937626E0
7.622589500E-2,-3.374320269E0,-3.714867592E0,1.676241279E0
7.859469700E-2,-3.439680815E0,-4.203621864E0,1.868047237E0
8.096355200E-2,-3.487403393E0,-4.671530724E0,2.050766945E0
8.333235400E-2,-3.520389080E0,-5.116227627E0,2.223025799E0
8.570115600E-2,-3.536271095E0,-5.534047127E0,2.379402876E0
8.807001000E-2,-3.536271095E0,-5.923767567E0,2.516232491E0
9.043881200E-2,-3.523443460E0,-6.281113148E0,2.632904291E0
9.280761400E-2,-3.496566057E0,-6.610360146E0,2.730639935E0
9.517646800E-2,-3.454341173E0,-6.914638042E0,2.806995869E0
9.754527000E-2,-3.398143291E0,-7.195628166E0,2.871134758E0
9.991407200E-2,-3.330339193E0,-7.455848694E0,2.920002699E0
1.022828740E-1,-3.251539946E0,-7.687359810E0,2.955431700E0
1.046517290E-1,-3.151971817E0,-7.897491455E0,2.974368095E0
