"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717747638415163E9,"2024-06-07 10:07:18.415 UTC+02:00"
"PAUSE",4.814488279166835E1,1.717747686559467E9,"2024-06-07 10:08:06.559 UTC+02:00"
