"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.485596250E-1,3.119512834E-2,-6.257024128E-3,-6.086391583E-2
7.584916250E-1,2.704379335E-2,-4.398670048E-3,-4.735343158E-2
7.684236250E-1,6.733312272E-3,1.816103607E-2,-3.143973276E-2
7.783566250E-1,-1.876032911E-2,2.779421955E-2,-6.828130689E-3
7.882886250E-1,-2.269903757E-2,2.510639094E-2,1.340249367E-2
7.982206250E-1,-2.055332996E-2,2.654210106E-2,2.388762496E-2
8.081526250E-1,-1.743902825E-2,2.721747756E-2,2.685145847E-2
8.180846250E-1,-1.291325223E-2,3.001912311E-2,2.565569803E-2
8.280166250E-1,-1.259223372E-2,3.246799856E-2,2.538371086E-2
8.379486250E-1,-1.439572684E-2,3.692959249E-2,2.720797621E-2
8.478816250E-1,-1.407906786E-2,4.066464305E-2,2.837875858E-2
8.578136250E-1,-2.433569916E-2,4.545087740E-2,2.837449685E-2
8.677456250E-1,-2.806508169E-2,4.778150842E-2,2.277752012E-2
8.776776250E-1,-3.048696183E-2,4.311778024E-2,9.864117950E-3
8.876096250E-1,-2.170270681E-2,4.128625989E-2,-8.293646388E-3
8.975416250E-1,-6.320022047E-3,3.656234592E-2,-1.517791767E-2
9.074736250E-1,2.833080012E-3,2.567794174E-2,-1.628931984E-2
9.174066250E-1,5.936195608E-3,1.121085230E-2,-6.959201768E-3
9.273386250E-1,-1.376597327E-3,5.306683946E-3,5.938108079E-3
9.372706250E-1,-1.181778684E-2,-7.195792161E-3,1.501149870E-2
9.472026250E-1,-2.924485318E-2,-2.432014793E-2,2.384603582E-2
9.571346250E-1,-4.975279048E-2,-3.430699930E-2,2.336453646E-2
9.670666250E-1,-6.207963824E-2,-4.633406550E-2,1.889552176E-2
9.769986250E-1,-8.089620620E-2,-5.454139411E-2,1.623768732E-2
9.869316250E-1,-1.050926074E-1,-6.997049600E-2,1.505251043E-2
9.968636250E-1,-1.371195018E-1,-8.575584739E-2,1.771034487E-2
1.006795625E0,-1.682951152E-1,-1.093161330E-1,2.635025047E-2
1.016727625E0,-2.105280608E-1,-1.163143888E-1,2.914230712E-2
1.026659625E0,-2.475902289E-1,-1.230331659E-1,2.854737267E-2
1.036591625E0,-2.779838145E-1,-1.780130714E-1,4.654528201E-2
1.046523625E0,-3.307346702E-1,-1.521041840E-1,7.267130911E-2
1.056456625E0,-3.812151551E-1,-9.467843920E-2,4.054053873E-2
1.066388625E0,-4.123282135E-1,-7.246630639E-2,-1.346380729E-2
1.076320625E0,-4.414187372E-1,-1.092890352E-1,-4.952407256E-2
1.086252625E0,-4.651452601E-1,-1.526705027E-1,-6.812713295E-2
1.096184625E0,-4.896122515E-1,-1.600304097E-1,-6.783898175E-2
1.106116625E0,-5.076367855E-1,-1.462476254E-1,-5.388379097E-2
1.116048625E0,-5.217613578E-1,-1.263237149E-1,-2.361936122E-2
1.125981625E0,-5.435181260E-1,-1.160294935E-1,9.829352610E-3
1.135913625E0,-5.673997402E-1,-9.634634107E-2,2.471322566E-2
1.145845625E0,-5.929213762E-1,-8.134701848E-2,1.154704764E-2
1.155777625E0,-6.237930059E-1,-7.879357785E-2,-1.336842217E-2
1.165709625E0,-6.319002509E-1,-7.677625865E-2,-3.762124106E-2
1.175641625E0,-6.493202448E-1,-1.165854558E-1,-5.752996728E-2
1.185573625E0,-7.116895914E-1,-1.535021365E-1,-7.260224223E-2
1.195506625E0,-7.906342149E-1,-1.203777418E-1,-8.006148785E-2
1.205438625E0,-8.279539943E-1,-7.019498944E-2,-7.534227520E-2
1.215370625E0,-7.924335599E-1,-4.163551703E-2,-6.280384213E-2
1.225302625E0,-7.147419453E-1,-4.963709041E-2,-5.548229814E-2
1.235234625E0,-6.738778949E-1,-8.563024551E-2,-4.613300413E-2
1.245166625E0,-7.025631070E-1,-1.176324785E-1,-3.729096428E-2
1.255098625E0,-7.842734456E-1,-1.348138750E-1,-4.434061795E-2
1.265031625E0,-8.608313799E-1,-1.644873172E-1,-3.590564430E-2
1.274963625E0,-8.752848506E-1,-2.012629062E-1,3.879051656E-3
1.284895625E0,-8.664247990E-1,-2.208310217E-1,5.742030963E-2
1.294827625E0,-8.939927816E-1,-2.309971005E-1,8.323778957E-2
1.304759625E0,-9.528960586E-1,-2.339837253E-1,7.126929611E-2
1.314691625E0,-9.923470616E-1,-2.403572053E-1,2.046922781E-2
1.324624625E0,-9.777015448E-1,-2.576305866E-1,-4.725852236E-2
1.334556625E0,-9.090104103E-1,-2.941283882E-1,-7.905799150E-2
1.344488625E0,-8.951698542E-1,-2.958542705E-1,-7.889908552E-2
1.354420625E0,-9.820637107E-1,-2.335594893E-1,-4.280579463E-2
1.364352625E0,-1.092675567E0,-1.854600608E-1,7.047759369E-3
1.374284625E0,-1.183447838E0,-1.883522570E-1,3.766079620E-2
1.384216625E0,-1.223905087E0,-1.897525191E-1,3.700303286E-2
1.394149625E0,-1.179111838E0,-1.783440709E-1,2.901407890E-2
1.404081625E0,-1.098948121E0,-1.450409442E-1,2.629085444E-2
1.414013625E0,-1.043162942E0,-9.518389404E-2,3.718664497E-2
1.423945792E0,-1.004625916E0,-6.516177952E-2,5.777592957E-2
1.433877792E0,-1.010750651E0,-5.900321901E-2,8.106341213E-2
1.443809792E0,-1.072911859E0,-8.292284608E-2,1.072793081E-1
1.453741792E0,-1.137468457E0,-5.592903867E-2,1.042853817E-1
1.463674792E0,-1.173397422E0,-3.123115376E-2,7.207214087E-2
1.473606792E0,-1.133513927E0,-2.133964188E-2,3.331622481E-2
1.483538792E0,-1.047391534E0,-8.252631873E-3,-1.327359118E-2
1.493470792E0,-9.593264461E-1,-1.305510057E-3,-5.366069824E-2
1.503402792E0,-8.924902081E-1,-6.699041463E-3,-8.156947792E-2
1.513334792E0,-7.762479782E-1,1.391382609E-2,-9.443733841E-2
1.523266792E0,-6.349460483E-1,3.620671853E-2,-8.761616796E-2
1.533198792E0,-5.644298196E-1,7.748465240E-2,-5.641857162E-2
1.543131792E0,-5.956701636E-1,1.324114352E-1,-1.584284380E-2
1.553063792E0,-6.343140006E-1,1.887412816E-1,1.062231977E-2
1.562995792E0,-5.579442382E-1,1.701503992E-1,1.062863413E-2
1.572927792E0,-3.829746246E-1,7.869131863E-2,-1.683601364E-2
1.582859792E0,-2.471728772E-1,2.109217830E-2,-3.732321039E-2
1.592791792E0,-1.946393549E-1,-2.554962598E-2,-2.177754045E-2
1.602723792E0,-1.555076689E-1,-4.229025915E-2,2.489249222E-2
1.612656792E0,-9.257265180E-2,-1.184713095E-2,1.074752510E-1
1.622588792E0,-4.702713341E-2,5.430655181E-2,1.829023361E-1
1.632520792E0,-9.712918103E-2,1.471589804E-1,2.210830003E-1
1.642452792E0,-1.468389332E-1,2.397432178E-1,1.951143146E-1
1.652384792E0,-1.265043765E-1,2.718446851E-1,1.439027786E-1
1.662316792E0,-9.862026200E-3,2.078038752E-1,1.153414771E-1
1.672248792E0,1.343563944E-1,1.212828308E-1,1.234742403E-1
1.682181792E0,2.378502041E-1,8.838496357E-2,1.602885127E-1
1.692113792E0,3.136397600E-1,1.155715734E-1,1.853563190E-1
1.702045792E0,3.533252180E-1,1.537906975E-1,1.882029027E-1
1.711977792E0,3.130566478E-1,1.478798240E-1,1.771577150E-1
1.721909792E0,2.016573399E-1,1.182678938E-1,1.376530230E-1
1.731841792E0,1.147099212E-1,8.977127075E-2,9.456228465E-2
1.741773792E0,1.052410156E-1,7.558048517E-2,6.466826051E-2
1.751706792E0,1.522407532E-1,5.645605922E-2,4.680137709E-2
1.761638792E0,2.164662927E-1,3.355810046E-2,4.811421409E-2
1.771570792E0,2.378280461E-1,3.437382728E-2,5.993331969E-2
1.781502792E0,2.252837121E-1,4.497124255E-2,7.808692753E-2
1.791434792E0,1.875635087E-1,-3.005871084E-3,8.939204365E-2
1.801366792E0,1.248733029E-1,-3.734496981E-2,8.516095579E-2
1.811298792E0,4.243728146E-2,-5.248019937E-3,5.044159666E-2
1.821231792E0,-3.563857824E-2,1.462089177E-2,5.164704286E-3
1.831163792E0,-6.142197549E-2,-6.430455297E-2,-2.586538345E-2
1.841095792E0,-6.315899640E-2,-2.185171247E-1,3.946975991E-2
1.851027792E0,-5.148529634E-2,-1.694289446E-1,3.052899614E-2
1.860959792E0,-5.409253761E-2,-1.520118266E-1,2.181347832E-2
1.870891792E0,-3.104261309E-2,-1.063322350E-1,1.035895571E-2
1.880823792E0,1.721826196E-2,-2.097631246E-2,-1.809256710E-2
1.890756792E0,5.734357610E-2,6.210020185E-2,-4.517531767E-2
1.900688792E0,7.547653466E-2,1.435438246E-1,-8.476907760E-2
1.910620792E0,7.630584389E-2,1.903744489E-1,-1.274345219E-1
1.920552792E0,9.539899975E-2,1.968287826E-1,-1.518415213E-1
1.930484792E0,1.532287449E-1,1.311970353E-1,-1.264474690E-1
1.940416792E0,1.905703694E-1,9.000124410E-3,-7.229004055E-2
1.950348792E0,2.160176635E-1,-5.840927735E-2,-1.317878254E-2
1.960281792E0,2.216661572E-1,-1.475600712E-2,2.660225146E-2
1.970213792E0,2.408281267E-1,4.149235412E-2,7.840047032E-2
1.980145792E0,3.184375465E-1,1.055771336E-1,1.317539513E-1
1.990077792E0,3.990591466E-1,2.222251892E-1,1.453347504E-1
2.000009792E0,4.109272957E-1,3.351709843E-1,1.135756373E-1
2.009941792E0,3.824940622E-1,4.011944532E-1,6.402938813E-2
2.019873792E0,4.366428852E-1,3.739428520E-1,3.874654323E-2
2.029806792E0,5.169374943E-1,2.306051105E-1,1.150048301E-1
2.039738792E0,5.797283053E-1,1.944660991E-1,1.647474319E-1
2.049670792E0,5.984809399E-1,1.748412549E-1,2.121943086E-1
2.059602792E0,5.955624580E-1,2.404561788E-1,2.325356603E-1
2.069534792E0,6.066870093E-1,3.292787373E-1,2.190765738E-1
2.079466792E0,6.521429420E-1,4.152167439E-1,1.783367246E-1
2.089398792E0,7.151269913E-1,4.562440813E-1,1.356105655E-1
2.099331792E0,7.913710475E-1,4.280410111E-1,1.068694741E-1
2.109263792E0,8.725958467E-1,3.610444069E-1,8.640494198E-2
2.119195792E0,9.186382294E-1,2.277491838E-1,9.653273970E-2
2.129127792E0,9.259566069E-1,8.455900103E-2,1.261367053E-1
2.139059792E0,9.000753164E-1,4.888605699E-2,1.662004143E-1
2.148991792E0,8.357415795E-1,1.163029075E-1,1.872497797E-1
2.158923792E0,7.401373386E-1,1.882516146E-1,1.678536385E-1
2.168856792E0,6.779248714E-1,2.418455929E-1,1.334996670E-1
2.178788792E0,6.686441898E-1,2.587319613E-1,8.246450871E-2
2.188720792E0,7.216075659E-1,1.702705324E-1,1.402845792E-2
2.198652792E0,7.909876704E-1,1.749484241E-2,-5.985854566E-2
2.208584792E0,8.136456013E-1,-9.258069098E-2,-1.196043417E-1
2.218516792E0,8.007545471E-1,-1.533663869E-1,-1.429212093E-1
2.228448792E0,7.768290043E-1,-1.756008565E-1,-1.374747753E-1
2.238381792E0,7.450496554E-1,-1.449554116E-1,-1.132724211E-1
2.248313792E0,6.977308989E-1,-8.864474297E-2,-8.055495471E-2
2.258245792E0,6.675041914E-1,-4.690055922E-2,-6.577403843E-2
2.268177792E0,6.888766289E-1,-1.904070005E-2,-6.522303075E-2
2.278109792E0,7.758558989E-1,-1.100543700E-2,-9.072443098E-2
2.288041792E0,9.046440125E-1,-5.717106536E-2,-1.351004094E-1
2.297973792E0,9.957003593E-1,-1.145178452E-1,-1.770460457E-1
2.307906792E0,1.029794097E0,-1.346625239E-1,-1.733831316E-1
2.317838792E0,1.013299108E0,-1.616839617E-1,-1.400370151E-1
2.327770792E0,9.478827715E-1,-2.139266729E-1,-1.159535125E-1
2.337702792E0,8.203245401E-1,-2.293118834E-1,-5.680314824E-2
2.347634792E0,6.492654085E-1,-1.595367938E-1,-4.097305238E-2
2.357566792E0,4.884888530E-1,-4.470371455E-2,-4.100539535E-2
2.367498792E0,3.670939803E-1,3.213833645E-2,-4.276947305E-2
2.377431792E0,2.760266960E-1,6.814038008E-2,-3.163683042E-2
2.387363792E0,2.245022506E-1,9.520448744E-2,-1.560380124E-2
2.397295792E0,2.207983881E-1,1.297771186E-1,8.516536094E-3
2.407227792E0,1.930993795E-1,1.435714811E-1,3.816950321E-2
2.417159542E0,8.848001063E-2,1.412159950E-1,6.966624409E-2
2.427091542E0,-6.111001596E-2,1.099036112E-1,1.063936353E-1
2.437023542E0,-2.700308263E-1,1.714278162E-1,6.249963492E-2
2.446956542E0,-4.587149918E-1,2.183202207E-1,7.593128830E-2
2.456888542E0,-5.767637491E-1,1.927604526E-1,1.108852625E-1
2.466820542E0,-6.186129451E-1,2.031619549E-1,1.394338161E-1
2.476752542E0,-6.380857825E-1,2.010041624E-1,1.178655773E-1
2.486684542E0,-6.497411132E-1,1.614373028E-1,1.043407097E-1
2.496616542E0,-6.786528826E-1,1.217177212E-1,9.086596221E-2
2.506548542E0,-7.244760394E-1,1.201517805E-1,6.317494810E-2
2.516481542E0,-7.364935875E-1,9.645327181E-2,3.034579195E-2
2.526413542E0,-7.239975333E-1,3.935962915E-2,4.135492723E-3
2.536345542E0,-7.141605020E-1,-4.109629244E-2,-2.313745767E-2
2.546277542E0,-7.137200236E-1,-1.171883941E-1,-5.494225770E-2
2.556209542E0,-7.416222095E-1,-1.609299481E-1,-9.880428761E-2
2.566141542E0,-7.896760106E-1,-2.018100172E-1,-1.326908767E-1
2.576073542E0,-8.083383441E-1,-2.142500728E-1,-1.433386356E-1
2.586006542E0,-8.107162714E-1,-2.041351199E-1,-1.149906144E-1
2.595938542E0,-7.752408385E-1,-2.112578005E-1,-5.412980914E-2
2.605870542E0,-7.215772867E-1,-1.984783560E-1,-1.105530839E-2
2.615802542E0,-7.049170732E-1,-1.450428367E-1,-2.171266079E-2
2.625734542E0,-7.284948230E-1,-1.145443171E-1,-6.076418608E-2
2.635666542E0,-7.584181428E-1,-1.300975680E-1,-8.079866320E-2
2.645598542E0,-8.039427400E-1,-1.680015475E-1,-5.976368114E-2
2.655531542E0,-8.619323373E-1,-1.621276438E-1,-2.015835978E-2
2.665463542E0,-9.046640992E-1,-7.118415087E-2,-1.366797090E-2
2.675395542E0,-8.885535598E-1,2.369990572E-2,-3.377884626E-2
2.685327542E0,-8.083652258E-1,4.491864517E-2,-5.205585063E-2
2.695259542E0,-7.162353992E-1,-1.855914248E-3,-4.719358310E-2
2.705191542E0,-6.526497602E-1,-2.830509841E-2,-4.414026812E-2
2.715123542E0,-6.763152480E-1,1.618416980E-2,-4.698034376E-2
2.725056542E0,-7.447673082E-1,6.320707500E-2,-4.004360735E-2
2.734988542E0,-7.869469523E-1,5.623472109E-2,-1.627393812E-2
2.744920542E0,-7.850587368E-1,-9.420719929E-3,2.553103305E-2
2.754852542E0,-7.794433832E-1,-8.526346087E-2,5.586036295E-2
2.764784542E0,-7.915564775E-1,-1.330120713E-1,5.240651220E-2
2.774716542E0,-7.674239874E-1,-1.220451742E-1,1.678460091E-2
2.784648542E0,-6.571712494E-1,-1.133986861E-1,-1.632967778E-2
2.794580542E0,-5.037791729E-1,-1.461316645E-1,-2.777965181E-2
2.804513542E0,-4.131739140E-1,-1.876849681E-1,-2.922468260E-2
2.814445542E0,-3.955570757E-1,-1.848389506E-1,-4.313305020E-2
2.824377542E0,-4.068574011E-1,-1.621762514E-1,-8.687946945E-2
2.834309542E0,-4.240218401E-1,-1.992005110E-1,-1.281275153E-1
2.844241542E0,-3.974189758E-1,-2.473832220E-1,-1.347518563E-1
2.854173542E0,-3.444311023E-1,-2.326315045E-1,-1.205048934E-1
2.864106542E0,-3.025456965E-1,-1.743650138E-1,-1.171844676E-1
2.874038542E0,-2.568318844E-1,-1.265904903E-1,-1.272280663E-1
2.883970542E0,-1.717039496E-1,-1.039493605E-1,-1.356276721E-1
2.893902542E0,-8.060178161E-2,-1.494179070E-1,-1.114083976E-1
2.903834542E0,-2.908931486E-2,-2.234372646E-1,-5.816009268E-2
2.913766542E0,-4.003456980E-2,-2.421979457E-1,-1.427984238E-2
2.923698542E0,-6.485363096E-2,-2.046889067E-1,1.182470471E-3
2.933630542E0,-3.699791431E-2,-1.427541077E-1,2.713500522E-3
2.943563542E0,4.343274608E-2,-9.803617746E-2,9.788986295E-3
2.953495542E0,9.342906624E-2,-1.151874661E-1,1.208489761E-2
2.963427542E0,1.275183260E-1,-1.399516761E-1,-1.358105056E-2
2.973359542E0,1.680825055E-1,-1.579564512E-1,-4.111025855E-2
2.983291542E0,2.136729062E-1,-1.781378835E-1,-5.473871902E-2
2.993223542E0,2.551867962E-1,-1.974948347E-1,-4.132805020E-2
3.003155542E0,2.822591662E-1,-1.513561010E-1,-1.855562627E-2
3.013088542E0,2.813239396E-1,-5.874706432E-2,5.607055500E-3
3.023020542E0,2.603867054E-1,1.955999061E-2,8.082197048E-3
3.032952542E0,2.374294251E-1,8.730531484E-2,-7.275441661E-3
3.042884542E0,1.946223080E-1,1.282021552E-1,-2.850030176E-2
3.052816542E0,1.332497746E-1,1.552661210E-1,-3.128938749E-2
3.062748542E0,9.229036421E-2,1.694485247E-1,-8.736141026E-3
3.072680542E0,7.858216017E-2,1.885257363E-1,2.581333555E-2
3.082613542E0,4.764048755E-2,2.178732455E-1,5.843173340E-2
3.092545542E0,1.501535997E-2,2.648858130E-1,8.630450070E-2
3.102477542E0,2.085460722E-2,3.105632663E-1,1.030539200E-1
3.112409542E0,7.204208523E-2,3.247662187E-1,1.135127991E-1
3.122341542E0,1.118443534E-1,3.292179406E-1,1.108698845E-1
3.132273542E0,1.120220348E-1,3.320527077E-1,1.042024940E-1
3.142205542E0,9.843831509E-2,3.364501297E-1,9.513442963E-2
