"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.048733333E-2,3.455997445E-3,7.198587060E-3,1.828959771E-2
2.042033333E-2,-4.887952469E-3,5.358343013E-3,1.585680060E-2
3.035333333E-2,-1.034772489E-2,3.683142597E-3,1.005930454E-2
4.028633333E-2,-8.379648440E-3,-1.807496650E-3,4.299152642E-3
5.021933333E-2,-7.231787778E-3,-3.782922635E-3,-3.012060188E-5
6.015233333E-2,-1.085661631E-2,-1.058436930E-2,-1.592597226E-3
7.008533333E-2,-1.938973367E-2,-8.953970857E-3,-1.924194628E-3
8.001833333E-2,-2.723940089E-2,-1.026584394E-2,-5.598558113E-3
8.995133333E-2,-3.349656239E-2,-7.741879206E-3,-1.116858236E-2
9.988433333E-2,-3.053778969E-2,-4.843028262E-3,-1.165380981E-2
1.098173333E-1,-2.430416457E-2,-7.461026311E-3,-9.886179119E-3
1.197503333E-1,-2.166044340E-2,-2.696897136E-3,-1.117940992E-2
1.296833333E-1,-2.441202290E-2,-1.062781550E-3,-8.126363158E-3
1.396163333E-1,-2.152488939E-2,-9.314876515E-4,-7.010498084E-3
1.495493333E-1,-1.383341290E-2,1.311160158E-3,-2.074532676E-4
1.594823333E-1,-5.589864217E-3,-1.626040088E-3,2.063424326E-3
1.694153333E-1,3.096783534E-3,3.615716472E-3,6.760582328E-3
1.793483333E-1,9.271322750E-3,2.091589384E-3,1.036437228E-2
1.892813333E-1,1.268504001E-2,2.635424025E-4,1.820624061E-2
1.992143333E-1,1.176411845E-2,2.033745870E-3,1.841156930E-2
2.091473333E-1,1.035828143E-2,3.464544658E-3,1.831390150E-2
2.190803333E-1,4.705988336E-3,3.971610684E-3,1.835651323E-2
2.290133333E-1,4.501807969E-3,1.499120146E-3,2.195207961E-2
2.389463333E-1,-3.550259629E-3,2.948390320E-4,1.887533069E-2
2.488793333E-1,-1.066512149E-2,8.864328265E-4,1.656127162E-2
2.588123333E-1,-9.314899333E-3,2.129194327E-4,1.288797334E-2
2.687453333E-1,-6.497638300E-3,-4.831130616E-3,1.237431727E-2
2.786783333E-1,-5.754617043E-3,-4.354957491E-3,7.006183267E-3
2.886113333E-1,-7.392896339E-3,-1.488308189E-3,4.262261558E-3
2.985443333E-1,-6.473040208E-3,-1.864879159E-3,7.894993760E-4
3.084773333E-1,-5.468753166E-3,-2.000974491E-4,-3.025633050E-3
3.184103333E-1,-1.114501432E-2,1.187941991E-3,2.609740477E-4
3.283433333E-1,-1.462695003E-2,7.956267335E-3,2.919397783E-3
3.382763333E-1,-1.157896221E-2,1.004738174E-2,6.285899784E-3
3.482093333E-1,-1.046422124E-2,1.251488272E-2,3.999872133E-3
3.581423333E-1,-9.489238262E-3,1.391410735E-2,5.236910656E-3
3.680753333E-1,-4.009375814E-3,9.689708240E-3,6.725222338E-4
3.780083333E-1,-4.511262523E-4,5.057139322E-3,-1.518726582E-3
3.879413333E-1,4.393721931E-3,2.034254838E-3,-3.084068652E-3
3.978743333E-1,4.639798775E-3,6.537660025E-3,-7.964132819E-4
