"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.798333331E-3,7.668553162E-1,3.177442474E0,9.333989868E0
1.173133333E-2,6.646179199E-1,3.165617065E0,9.169032898E0
2.166433333E-2,6.071374512E-1,3.141666870E0,9.121282196E0
3.159733333E-2,6.432124329E-1,3.126398621E0,9.193581848E0
4.153033333E-2,6.680607605E-1,3.109334106E0,9.253008270E0
5.146333333E-2,6.405180359E-1,3.087479553E0,9.336235199E0
6.139633333E-2,6.183641052E-1,3.039728851E0,9.337133331E0
7.132933333E-2,6.158193970E-1,2.997516632E0,9.251511383E0
8.126233333E-2,6.213578796E-1,2.958447876E0,9.201964417E0
9.119533333E-2,6.544390869E-1,2.941233673E0,9.230405273E0
1.011283333E-1,6.420149231E-1,2.955603790E0,9.313183136E0
1.110613333E-1,6.075865173E-1,2.982398071E0,9.370064850E0
1.209943333E-1,6.144721985E-1,2.986289978E0,9.345216522E0
1.309273333E-1,5.980064392E-1,2.985691223E0,9.271869049E0
1.408603333E-1,5.402265930E-1,2.980901184E0,9.264983368E0
1.507933333E-1,5.032534790E-1,2.994822235E0,9.360933838E0
1.607263333E-1,4.989125061E-1,3.003055115E0,9.388925629E0
1.706593333E-1,4.821473694E-1,3.027304688E0,9.361233215E0
1.805923333E-1,5.004093933E-1,3.054398346E0,9.382489014E0
1.905253333E-1,5.041516113E-1,3.057092743E0,9.329050140E0
2.004583333E-1,5.075944519E-1,3.051404572E0,9.260492706E0
2.103903333E-1,5.330415344E-1,3.043321381E0,9.276210022E0
2.203233333E-1,5.321434021E-1,3.038381653E0,9.254804535E0
2.302573333E-1,5.164260864E-1,3.055745544E0,9.250762939E0
2.401893333E-1,5.331912231E-1,3.039429474E0,9.214837646E0
2.501223333E-1,5.390290833E-1,3.054248657E0,9.186247101E0
2.600553333E-1,5.780978394E-1,3.053200836E0,9.241931305E0
2.699883333E-1,5.950126648E-1,3.045117645E0,9.298513641E0
2.799213333E-1,6.303392029E-1,3.023412781E0,9.301657104E0
2.898543333E-1,6.526428223E-1,2.992726593E0,9.318721619E0
2.997873333E-1,6.695576477E-1,3.002755737E0,9.299262085E0
3.097203333E-1,6.463558960E-1,2.987487488E0,9.287736053E0
3.196533333E-1,6.144721985E-1,2.992427216E0,9.274713135E0
3.295863333E-1,5.722599792E-1,2.982697449E0,9.258846130E0
3.395193333E-1,5.429209900E-1,3.009791107E0,9.271419983E0
3.494523333E-1,5.602848816E-1,3.013533325E0,9.304650879E0
3.593853333E-1,5.930667114E-1,3.061134338E0,9.286688232E0
3.693183333E-1,6.361770630E-1,3.059787140E0,9.324709167E0
3.792513333E-1,6.722520447E-1,3.049907684E0,9.351204071E0
3.891843333E-1,6.578819275E-1,3.027903442E0,9.331594849E0
3.991173333E-1,6.316864014E-1,2.982697449E0,9.310339050E0
4.090503333E-1,5.721102905E-1,2.965483246E0,9.325607300E0
4.189833333E-1,5.418731689E-1,2.962938538E0,9.305549011E0
4.289163333E-1,5.451663208E-1,2.971321106E0,9.276808777E0
4.388493333E-1,5.520520020E-1,2.999013519E0,9.259145508E0
4.487823333E-1,5.649252319E-1,3.016527100E0,9.307494965E0
4.587153333E-1,5.610333252E-1,3.038082275E0,9.310638428E0
4.686483333E-1,5.706134033E-1,3.028202820E0,9.290280762E0
4.785813333E-1,6.084846497E-1,3.033441925E0,9.286239166E0
4.885143333E-1,5.981561279E-1,3.012335815E0,9.269773407E0
4.984473333E-1,5.815406799E-1,3.007096710E0,9.257947998E0
5.083803333E-1,5.581892395E-1,3.002456360E0,9.263935547E0
5.183133333E-1,5.881269836E-1,3.017425232E0,9.270521851E0
5.282463333E-1,5.956114197E-1,3.053200836E0,9.269773407E0
5.381793333E-1,6.078858948E-1,3.070714417E0,9.275012512E0
5.481123333E-1,6.408174133E-1,3.066972198E0,9.304950256E0
5.580453333E-1,6.354286194E-1,3.055446167E0,9.292376404E0
5.679783333E-1,5.881269836E-1,3.033890991E0,9.300908661E0
5.779113333E-1,5.725593567E-1,3.013832703E0,9.313332825E0
5.878443333E-1,5.610333252E-1,2.968776398E0,9.306447144E0
5.977773333E-1,5.649252319E-1,2.983296204E0,9.306297455E0
6.077103333E-1,5.980064392E-1,2.984344025E0,9.284891968E0
6.176433333E-1,6.203100586E-1,2.988535309E0,9.300459595E0
6.275763333E-1,6.623725891E-1,2.965183868E0,9.351054382E0
6.375093333E-1,6.665638733E-1,2.963986359E0,9.328750763E0
6.474423333E-1,6.508465576E-1,2.996768188E0,9.302405548E0
6.573753333E-1,6.192622375E-1,3.027604065E0,9.303153992E0
6.673083333E-1,6.550378418E-1,3.059038696E0,9.268426208E0
6.772413333E-1,6.376739502E-1,3.031645660E0,9.227860565E0
6.871743333E-1,5.580395508E-1,3.023712158E0,9.258995819E0
6.971073333E-1,5.622308350E-1,3.005599823E0,9.311386871E0
7.070403333E-1,6.234535217E-1,3.002606049E0,9.285790100E0
7.169733333E-1,6.566844177E-1,2.996169434E0,9.275311890E0
7.269066667E-1,6.559359741E-1,3.017275543E0,9.256301422E0
7.368396667E-1,6.381230164E-1,3.041824493E0,9.275760956E0
7.467726667E-1,6.159690857E-1,3.049308929E0,9.264833679E0
7.567056667E-1,5.667214966E-1,3.056943054E0,9.264833679E0
7.666386667E-1,5.275030518E-1,3.052602081E0,9.223519592E0
7.765716667E-1,4.918771362E-1,3.055895233E0,9.245823212E0
7.865046667E-1,4.602928162E-1,3.049308929E0,9.261540527E0
7.964376667E-1,4.471202087E-1,3.085084534E0,9.277856598E0
8.063706667E-1,4.878355408E-1,3.103645935E0,9.289083252E0
8.163036667E-1,5.439688110E-1,3.110531616E0,9.258995819E0
8.262366667E-1,5.381309509E-1,3.111130371E0,9.151369629E0
