"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717747924566492E9,"2024-06-07 10:12:04.566 UTC+02:00"
"PAUSE",1.515215002499972E2,1.717748076086172E9,"2024-06-07 10:14:36.086 UTC+02:00"
