"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717716232381680E9,"2024-06-07 01:23:52.382 UTC+02:00"
"PAUSE",9.217664975000002E1,1.717716324558138E9,"2024-06-07 01:25:24.558 UTC+02:00"
